#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   100   0.269556E+04  -0.231545E+02   0.366669E-03  -0.231545E+02   0.773662E+00  -0.112738E-05   0.366669E-03  -0.112738E-05   0.101978E-06
   101   0.272679E+04  -0.238169E+02   0.362438E-03  -0.238169E+02   0.788408E+00  -0.110476E-05   0.362438E-03  -0.110476E-05   0.101347E-06
   102   0.275825E+04  -0.244800E+02   0.358292E-03  -0.244800E+02   0.802991E+00  -0.108070E-05   0.358292E-03  -0.108070E-05   0.100720E-06
   103   0.278991E+04  -0.251429E+02   0.354227E-03  -0.251429E+02   0.817410E+00  -0.105587E-05   0.354227E-03  -0.105587E-05   0.100096E-06
   104   0.282178E+04  -0.258054E+02   0.350238E-03  -0.258054E+02   0.831637E+00  -0.103093E-05   0.350238E-03  -0.103093E-05   0.994759E-07
   105   0.285384E+04  -0.264669E+02   0.346322E-03  -0.264669E+02   0.845665E+00  -0.100657E-05   0.346322E-03  -0.100657E-05   0.988596E-07
   106   0.288608E+04  -0.271266E+02   0.342474E-03  -0.271266E+02   0.859477E+00  -0.983450E-06   0.342474E-03  -0.983450E-06   0.982470E-07
   107   0.291852E+04  -0.277841E+02   0.338689E-03  -0.277841E+02   0.873068E+00  -0.962235E-06   0.338689E-03  -0.962235E-06   0.976383E-07
   108   0.295112E+04  -0.284389E+02   0.334963E-03  -0.284389E+02   0.886416E+00  -0.943599E-06   0.334963E-03  -0.943599E-06   0.970335E-07
   109   0.298389E+04  -0.290903E+02   0.331293E-03  -0.290903E+02   0.899512E+00  -0.928209E-06   0.331293E-03  -0.928209E-06   0.964326E-07
   110   0.301683E+04  -0.297379E+02   0.327672E-03  -0.297379E+02   0.912336E+00  -0.916736E-06   0.327672E-03  -0.916736E-06   0.958358E-07
   111   0.304992E+04  -0.303811E+02   0.324099E-03  -0.303811E+02   0.924879E+00  -0.909680E-06   0.324099E-03  -0.909680E-06   0.952431E-07
   112   0.308316E+04  -0.310192E+02   0.320572E-03  -0.310192E+02   0.937134E+00  -0.906865E-06   0.320572E-03  -0.906865E-06   0.946545E-07
   113   0.311655E+04  -0.316518E+02   0.317092E-03  -0.316518E+02   0.949079E+00  -0.907944E-06   0.317092E-03  -0.907944E-06   0.940700E-07
   114   0.315007E+04  -0.322782E+02   0.313658E-03  -0.322782E+02   0.960699E+00  -0.912573E-06   0.313658E-03  -0.912573E-06   0.934895E-07
   115   0.318373E+04  -0.328979E+02   0.310271E-03  -0.328979E+02   0.971993E+00  -0.920407E-06   0.310271E-03  -0.920407E-06   0.929132E-07
   116   0.321751E+04  -0.335104E+02   0.306931E-03  -0.335104E+02   0.982946E+00  -0.931099E-06   0.306931E-03  -0.931099E-06   0.923409E-07
   117   0.325141E+04  -0.341151E+02   0.303639E-03  -0.341151E+02   0.993536E+00  -0.944305E-06   0.303639E-03  -0.944305E-06   0.917728E-07
   118   0.328542E+04  -0.347113E+02   0.300394E-03  -0.347113E+02   0.100376E+01  -0.959678E-06   0.300394E-03  -0.959678E-06   0.912087E-07
   119   0.331953E+04  -0.352986E+02   0.297196E-03  -0.352986E+02   0.101361E+01  -0.976874E-06   0.297196E-03  -0.976874E-06   0.906487E-07
   120   0.335374E+04  -0.358764E+02   0.294046E-03  -0.358764E+02   0.102307E+01  -0.995546E-06   0.294046E-03  -0.995546E-06   0.900928E-07
   121   0.338803E+04  -0.364441E+02   0.290945E-03  -0.364441E+02   0.103213E+01  -0.101535E-05   0.290945E-03  -0.101535E-05   0.895410E-07
   122   0.342240E+04  -0.370012E+02   0.287891E-03  -0.370012E+02   0.104079E+01  -0.103594E-05   0.287891E-03  -0.103594E-05   0.889933E-07
   123   0.345684E+04  -0.375471E+02   0.284886E-03  -0.375471E+02   0.104902E+01  -0.105697E-05   0.284886E-03  -0.105697E-05   0.884497E-07
   124   0.349134E+04  -0.380813E+02   0.281930E-03  -0.380813E+02   0.105683E+01  -0.107810E-05   0.281930E-03  -0.107810E-05   0.879102E-07
   125   0.352589E+04  -0.386032E+02   0.279022E-03  -0.386032E+02   0.106420E+01  -0.109897E-05   0.279022E-03  -0.109897E-05   0.873748E-07
   126   0.356049E+04  -0.391123E+02   0.276163E-03  -0.391123E+02   0.107112E+01  -0.111925E-05   0.276163E-03  -0.111925E-05   0.868435E-07
   127   0.359512E+04  -0.396081E+02   0.273353E-03  -0.396081E+02   0.107760E+01  -0.113859E-05   0.273353E-03  -0.113859E-05   0.863162E-07
   128   0.362977E+04  -0.400900E+02   0.270593E-03  -0.400900E+02   0.108362E+01  -0.115664E-05   0.270593E-03  -0.115664E-05   0.857931E-07
   129   0.366444E+04  -0.405575E+02   0.267882E-03  -0.405575E+02   0.108918E+01  -0.117306E-05   0.267882E-03  -0.117306E-05   0.852740E-07
   130   0.369913E+04  -0.410101E+02   0.265221E-03  -0.410101E+02   0.109425E+01  -0.118751E-05   0.265221E-03  -0.118751E-05   0.847591E-07
   131   0.373380E+04  -0.414472E+02   0.262609E-03  -0.414472E+02   0.109885E+01  -0.119970E-05   0.262609E-03  -0.119970E-05   0.842482E-07
   132   0.376848E+04  -0.418684E+02   0.260046E-03  -0.418684E+02   0.110298E+01  -0.120967E-05   0.260046E-03  -0.120967E-05   0.837414E-07
   133   0.380313E+04  -0.422733E+02   0.257529E-03  -0.422733E+02   0.110661E+01  -0.121752E-05   0.257529E-03  -0.121752E-05   0.832387E-07
   134   0.383776E+04  -0.426611E+02   0.255058E-03  -0.426611E+02   0.110976E+01  -0.122333E-05   0.255058E-03  -0.122333E-05   0.827399E-07
   135   0.387236E+04  -0.430317E+02   0.252631E-03  -0.430317E+02   0.111241E+01  -0.122723E-05   0.252631E-03  -0.122723E-05   0.822452E-07
   136   0.390693E+04  -0.433845E+02   0.250246E-03  -0.433845E+02   0.111458E+01  -0.122929E-05   0.250246E-03  -0.122929E-05   0.817544E-07
   137   0.394144E+04  -0.437188E+02   0.247902E-03  -0.437188E+02   0.111624E+01  -0.122962E-05   0.247902E-03  -0.122962E-05   0.812675E-07
   138   0.397590E+04  -0.440345E+02   0.245597E-03  -0.440345E+02   0.111741E+01  -0.122833E-05   0.245597E-03  -0.122833E-05   0.807845E-07
   139   0.401029E+04  -0.443311E+02   0.243330E-03  -0.443311E+02   0.111809E+01  -0.122550E-05   0.243330E-03  -0.122550E-05   0.803054E-07
   140   0.404462E+04  -0.446081E+02   0.241100E-03  -0.446081E+02   0.111827E+01  -0.122124E-05   0.241100E-03  -0.122124E-05   0.798301E-07
   141   0.407887E+04  -0.448651E+02   0.238904E-03  -0.448651E+02   0.111796E+01  -0.121565E-05   0.238904E-03  -0.121565E-05   0.793587E-07
   142   0.411303E+04  -0.451018E+02   0.236742E-03  -0.451018E+02   0.111715E+01  -0.120882E-05   0.236742E-03  -0.120882E-05   0.788910E-07
   143   0.414710E+04  -0.453177E+02   0.234611E-03  -0.453177E+02   0.111586E+01  -0.120086E-05   0.234611E-03  -0.120086E-05   0.784272E-07
   144   0.418107E+04  -0.455124E+02   0.232511E-03  -0.455124E+02   0.111408E+01  -0.119187E-05   0.232511E-03  -0.119187E-05   0.779670E-07
   145   0.421492E+04  -0.456855E+02   0.230439E-03  -0.456855E+02   0.111181E+01  -0.118193E-05   0.230439E-03  -0.118193E-05   0.775106E-07
   146   0.424863E+04  -0.458367E+02   0.228395E-03  -0.458367E+02   0.110907E+01  -0.117116E-05   0.228395E-03  -0.117116E-05   0.770578E-07
   147   0.428220E+04  -0.459654E+02   0.226376E-03  -0.459654E+02   0.110586E+01  -0.115965E-05   0.226376E-03  -0.115965E-05   0.766087E-07
   148   0.431561E+04  -0.460714E+02   0.224382E-03  -0.460714E+02   0.110218E+01  -0.114750E-05   0.224382E-03  -0.114750E-05   0.761632E-07
   149   0.434885E+04  -0.461542E+02   0.222411E-03  -0.461542E+02   0.109804E+01  -0.113480E-05   0.222411E-03  -0.113480E-05   0.757214E-07
   150   0.438190E+04  -0.462134E+02   0.220461E-03  -0.462134E+02   0.109345E+01  -0.112167E-05   0.220461E-03  -0.112167E-05   0.752831E-07
   151   0.441474E+04  -0.462487E+02   0.218531E-03  -0.462487E+02   0.108842E+01  -0.110818E-05   0.218531E-03  -0.110818E-05   0.748483E-07
   152   0.444738E+04  -0.462598E+02   0.216620E-03  -0.462598E+02   0.108294E+01  -0.109436E-05   0.216620E-03  -0.109436E-05   0.744171E-07
   153   0.447981E+04  -0.462464E+02   0.214730E-03  -0.462464E+02   0.107705E+01  -0.108025E-05   0.214730E-03  -0.108025E-05   0.739893E-07
   154   0.451201E+04  -0.462083E+02   0.212858E-03  -0.462083E+02   0.107075E+01  -0.106586E-05   0.212858E-03  -0.106586E-05   0.735651E-07
   155   0.454399E+04  -0.461452E+02   0.211006E-03  -0.461452E+02   0.106404E+01  -0.105122E-05   0.211006E-03  -0.105122E-05   0.731443E-07
   156   0.457575E+04  -0.460569E+02   0.209173E-03  -0.460569E+02   0.105694E+01  -0.103634E-05   0.209173E-03  -0.103634E-05   0.727269E-07
   157   0.460727E+04  -0.459430E+02   0.207360E-03  -0.459430E+02   0.104946E+01  -0.102125E-05   0.207360E-03  -0.102125E-05   0.723129E-07
   158   0.463856E+04  -0.458035E+02   0.205565E-03  -0.458035E+02   0.104163E+01  -0.100597E-05   0.205565E-03  -0.100597E-05   0.719023E-07
   159   0.466960E+04  -0.456380E+02   0.203789E-03  -0.456380E+02   0.103343E+01  -0.990528E-06   0.203789E-03  -0.990528E-06   0.714951E-07
   160   0.470038E+04  -0.454464E+02   0.202032E-03  -0.454464E+02   0.102491E+01  -0.974938E-06   0.202032E-03  -0.974938E-06   0.710912E-07
   161   0.473087E+04  -0.452284E+02   0.200294E-03  -0.452284E+02   0.101606E+01  -0.959224E-06   0.200294E-03  -0.959224E-06   0.706907E-07
   162   0.476109E+04  -0.449839E+02   0.198574E-03  -0.449839E+02   0.100691E+01  -0.943409E-06   0.198574E-03  -0.943409E-06   0.702934E-07
   163   0.479100E+04  -0.447126E+02   0.196873E-03  -0.447126E+02   0.997491E+00  -0.927515E-06   0.196873E-03  -0.927515E-06   0.698994E-07
   164   0.482060E+04  -0.444143E+02   0.195190E-03  -0.444143E+02   0.987793E+00  -0.911564E-06   0.195190E-03  -0.911564E-06   0.695087E-07
   165   0.484987E+04  -0.440889E+02   0.193526E-03  -0.440889E+02   0.977843E+00  -0.895578E-06   0.193526E-03  -0.895578E-06   0.691212E-07
   166   0.487881E+04  -0.437363E+02   0.191879E-03  -0.437363E+02   0.967663E+00  -0.879578E-06   0.191879E-03  -0.879578E-06   0.687369E-07
   167   0.490741E+04  -0.433562E+02   0.190251E-03  -0.433562E+02   0.957275E+00  -0.863587E-06   0.190251E-03  -0.863587E-06   0.683557E-07
   168   0.493566E+04  -0.429488E+02   0.188640E-03  -0.429488E+02   0.946701E+00  -0.847627E-06   0.188640E-03  -0.847627E-06   0.679778E-07
   169   0.496355E+04  -0.425139E+02   0.187047E-03  -0.425139E+02   0.935964E+00  -0.831719E-06   0.187047E-03  -0.831719E-06   0.676030E-07
   170   0.499108E+04  -0.420514E+02   0.185472E-03  -0.420514E+02   0.925078E+00  -0.815887E-06   0.185472E-03  -0.815887E-06   0.672312E-07
   171   0.501822E+04  -0.415613E+02   0.183915E-03  -0.415613E+02   0.914073E+00  -0.800151E-06   0.183915E-03  -0.800151E-06   0.668626E-07
   172   0.504499E+04  -0.410435E+02   0.182375E-03  -0.410435E+02   0.902972E+00  -0.784534E-06   0.182375E-03  -0.784534E-06   0.664971E-07
   173   0.507136E+04  -0.404980E+02   0.180852E-03  -0.404980E+02   0.891796E+00  -0.769058E-06   0.180852E-03  -0.769058E-06   0.661346E-07
   174   0.509733E+04  -0.399247E+02   0.179347E-03  -0.399247E+02   0.880567E+00  -0.753744E-06   0.179347E-03  -0.753744E-06   0.657751E-07
   175   0.512289E+04  -0.393239E+02   0.177859E-03  -0.393239E+02   0.869324E+00  -0.738616E-06   0.177859E-03  -0.738616E-06   0.654186E-07
   176   0.514803E+04  -0.386953E+02   0.176388E-03  -0.386953E+02   0.858080E+00  -0.723688E-06   0.176388E-03  -0.723688E-06   0.650651E-07
   177   0.517274E+04  -0.380391E+02   0.174933E-03  -0.380391E+02   0.846873E+00  -0.708956E-06   0.174933E-03  -0.708956E-06   0.647146E-07
