#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.363617E-02   0.184621E+08   0.184589E+08   0.448932E+04  -0.336658E+05   0.161583E+08   0.184512E+08   0.184616E+08   0.184512E+08  -0.440784E+00   0.974106E+07   0.974057E+07   0.452990E+02
   0.401502E-02   0.182786E+08   0.182750E+08  -0.303097E+04  -0.273401E+05   0.157270E+08   0.182665E+08   0.182780E+08   0.182665E+08  -0.436370E+00   0.964370E+07   0.964321E+07   0.407156E+02
   0.443334E-02   0.180750E+08   0.180711E+08   0.224982E+03  -0.221767E+05   0.152641E+08   0.180617E+08   0.180743E+08   0.180617E+08  -0.431477E+00   0.953575E+07   0.953526E+07   0.368005E+02
   0.489524E-02   0.178500E+08   0.178457E+08  -0.205725E+04  -0.179650E+05   0.147702E+08   0.178354E+08   0.178493E+08   0.178354E+08  -0.426072E+00   0.941652E+07   0.941603E+07   0.333151E+02
   0.540527E-02   0.176024E+08   0.175976E+08  -0.267683E+04  -0.145324E+05   0.142453E+08   0.175865E+08   0.176016E+08   0.175865E+08  -0.420125E+00   0.928531E+07   0.928482E+07   0.300374E+02
   0.596844E-02   0.173308E+08   0.173254E+08  -0.189491E+04  -0.117373E+05   0.136889E+08   0.173135E+08   0.173299E+08   0.173135E+08  -0.413603E+00   0.914142E+07   0.914094E+07   0.270811E+02
   0.659028E-02   0.170342E+08   0.170280E+08  -0.238405E+04  -0.946389E+04   0.130697E+08   0.170154E+08   0.170332E+08   0.170154E+08  -0.406480E+00   0.898428E+07   0.898380E+07   0.245206E+02
   0.727692E-02   0.167104E+08   0.167034E+08  -0.207526E+04  -0.761620E+04   0.124365E+08   0.166900E+08   0.167093E+08   0.166900E+08  -0.398708E+00   0.881279E+07   0.881231E+07   0.221856E+02
   0.803509E-02   0.163582E+08   0.163501E+08  -0.203212E+04  -0.611640E+04   0.117766E+08   0.163362E+08   0.163569E+08   0.163362E+08  -0.390257E+00   0.862630E+07   0.862581E+07   0.200967E+02
   0.887226E-02   0.159766E+08   0.159673E+08  -0.239052E+04  -0.490076E+04   0.110990E+08   0.159532E+08   0.159752E+08   0.159532E+08  -0.381106E+00   0.842435E+07   0.842387E+07   0.182537E+02
   0.979664E-02   0.155645E+08   0.155537E+08  -0.122269E+04  -0.391687E+04   0.104049E+08   0.155396E+08   0.155628E+08   0.155396E+08  -0.371225E+00   0.820626E+07   0.820578E+07   0.165952E+02
   0.108173E-01   0.151203E+08   0.151079E+08  -0.160783E+04  -0.312176E+04   0.969353E+07   0.150939E+08   0.151184E+08   0.150939E+08  -0.360579E+00   0.797128E+07   0.797079E+07   0.151460E+02
   0.119444E-01   0.146429E+08   0.146284E+08  -0.134874E+04  -0.248030E+04   0.897067E+07   0.146151E+08   0.146406E+08   0.146151E+08  -0.349140E+00   0.771875E+07   0.771825E+07   0.138435E+02
   0.131889E-01   0.141312E+08   0.141144E+08  -0.968365E+03  -0.196382E+04   0.824406E+07   0.141020E+08   0.141285E+08   0.141020E+08  -0.336883E+00   0.744813E+07   0.744763E+07   0.127004E+02
   0.145630E-01   0.135842E+08   0.135647E+08  -0.959848E+03  -0.154884E+04   0.752031E+07   0.135538E+08   0.135811E+08   0.135538E+08  -0.323786E+00   0.715894E+07   0.715843E+07   0.116833E+02
   0.160803E-01   0.130014E+08   0.129789E+08  -0.875799E+03  -0.121624E+04   0.680191E+07   0.129699E+08   0.129978E+08   0.129699E+08  -0.309838E+00   0.685091E+07   0.685039E+07   0.107788E+02
   0.177557E-01   0.123828E+08   0.123571E+08  -0.533653E+03  -0.950408E+03   0.609829E+07   0.123505E+08   0.123788E+08   0.123505E+08  -0.295040E+00   0.652408E+07   0.652355E+07   0.996255E+01
   0.196056E-01   0.117297E+08   0.117003E+08  -0.508815E+03  -0.738647E+03   0.541503E+07   0.116966E+08   0.117251E+08   0.116966E+08  -0.279420E+00   0.617903E+07   0.617849E+07   0.921778E+01
