#    L    TT             EE             TE             PP             TP          
   170   0.499267E+04   0.926492E+00  -0.428657E+02   0.272835E+07   0.284766E+04
   171   0.502066E+04   0.916876E+00  -0.424708E+02   0.271301E+07   0.282346E+04
   172   0.504832E+04   0.907110E+00  -0.420498E+02   0.269779E+07   0.279954E+04
   173   0.507562E+04   0.897214E+00  -0.416025E+02   0.268271E+07   0.277589E+04
   174   0.510256E+04   0.887206E+00  -0.411290E+02   0.266776E+07   0.275251E+04
   175   0.512912E+04   0.877120E+00  -0.406294E+02   0.265293E+07   0.272940E+04
   176   0.515531E+04   0.866966E+00  -0.401035E+02   0.263824E+07   0.270655E+04
   177   0.518112E+04   0.856777E+00  -0.395513E+02   0.262366E+07   0.268398E+04
   178   0.520652E+04   0.846570E+00  -0.389728E+02   0.260921E+07   0.266166E+04
   179   0.523152E+04   0.836362E+00  -0.383679E+02   0.259489E+07   0.263960E+04
   180   0.525611E+04   0.826185E+00  -0.377366E+02   0.258068E+07   0.261779E+04
   181   0.528028E+04   0.816063E+00  -0.370791E+02   0.256660E+07   0.259623E+04
   182   0.530403E+04   0.806020E+00  -0.363954E+02   0.255264E+07   0.257490E+04
   183   0.532735E+04   0.796074E+00  -0.356855E+02   0.253879E+07   0.255381E+04
   184   0.535023E+04   0.786257E+00  -0.349496E+02   0.252506E+07   0.253295E+04
   185   0.537267E+04   0.776600E+00  -0.341875E+02   0.251145E+07   0.251231E+04
   186   0.539466E+04   0.767120E+00  -0.333996E+02   0.249795E+07   0.249189E+04
   187   0.541619E+04   0.757844E+00  -0.325858E+02   0.248457E+07   0.247168E+04
   188   0.543725E+04   0.748804E+00  -0.317464E+02   0.247130E+07   0.245169E+04
   189   0.545785E+04   0.740028E+00  -0.308814E+02   0.245814E+07   0.243189E+04
   190   0.547796E+04   0.731544E+00  -0.299910E+02   0.244509E+07   0.241229E+04
   191   0.549760E+04   0.723379E+00  -0.290756E+02   0.243215E+07   0.239289E+04
   192   0.551674E+04   0.715563E+00  -0.281350E+02   0.241931E+07   0.237367E+04
   193   0.553537E+04   0.708123E+00  -0.271696E+02   0.240658E+07   0.235464E+04
   194   0.555351E+04   0.701090E+00  -0.261796E+02   0.239396E+07   0.233578E+04
   195   0.557115E+04   0.694495E+00  -0.251653E+02   0.238144E+07   0.231709E+04
   196   0.558827E+04   0.688368E+00  -0.241270E+02   0.236903E+07   0.229858E+04
