#    L    TT             EE             BB             TE             PP             TP             EP          
   220   0.573650E+04   0.852101E+00   0.000000E+00   0.133131E+02   0.512717E-07   0.123422E-03  -0.117196E-06
   221   0.573654E+04   0.875159E+00   0.000000E+00   0.149207E+02   0.510245E-07   0.122425E-03  -0.102756E-06
   222   0.573595E+04   0.899799E+00   0.000000E+00   0.165394E+02   0.507791E-07   0.121436E-03  -0.882991E-07
   223   0.573472E+04   0.926043E+00   0.000000E+00   0.181684E+02   0.505357E-07   0.120454E-03  -0.738292E-07
   224   0.573287E+04   0.953929E+00   0.000000E+00   0.198070E+02   0.502941E-07   0.119479E-03  -0.593493E-07
   225   0.573040E+04   0.983479E+00   0.000000E+00   0.214546E+02   0.500544E-07   0.118511E-03  -0.448627E-07
   226   0.572730E+04   0.101474E+01   0.000000E+00   0.231105E+02   0.498164E-07   0.117551E-03  -0.303725E-07
   227   0.572357E+04   0.104773E+01   0.000000E+00   0.247741E+02   0.495803E-07   0.116598E-03  -0.158819E-07
   228   0.571922E+04   0.108249E+01   0.000000E+00   0.264447E+02   0.493460E-07   0.115652E-03  -0.139428E-08
   229   0.571426E+04   0.111905E+01   0.000000E+00   0.281215E+02   0.491134E-07   0.114713E-03   0.130873E-07
   230   0.570867E+04   0.115743E+01   0.000000E+00   0.298040E+02   0.488826E-07   0.113781E-03   0.275595E-07
