#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.135224E-01   0.137041E+08   0.136875E+08  -0.937454E+03  -0.191921E+04   0.000000E+00   0.137014E+08   0.137014E+08   0.137014E+08  -0.324143E+00   0.715228E+07   0.715179E+07   0.122147E+02
   0.149378E-01   0.131306E+08   0.131115E+08  -0.836576E+03  -0.150688E+04   0.000000E+00   0.131276E+08   0.131276E+08   0.131276E+08  -0.310568E+00   0.685274E+07   0.685224E+07   0.112027E+02
   0.165013E-01   0.125234E+08   0.125014E+08  -0.715838E+03  -0.117770E+04   0.000000E+00   0.125200E+08   0.125200E+08   0.125200E+08  -0.296192E+00   0.653555E+07   0.653504E+07   0.103036E+02
   0.182285E-01   0.118832E+08   0.118580E+08  -0.526055E+03  -0.915708E+03   0.000000E+00   0.118792E+08   0.118792E+08   0.118792E+08  -0.281034E+00   0.620109E+07   0.620057E+07   0.949837E+01
   0.201365E-01   0.112117E+08   0.111830E+08  -0.516840E+03  -0.707950E+03   0.000000E+00   0.112072E+08   0.112072E+08   0.112072E+08  -0.265135E+00   0.585027E+07   0.584974E+07   0.876340E+01
   0.222442E-01   0.105120E+08   0.104797E+08  -0.427553E+03  -0.543904E+03   0.000000E+00   0.105069E+08   0.105069E+08   0.105069E+08  -0.248569E+00   0.548474E+07   0.548420E+07   0.807996E+01
   0.245725E-01   0.978943E+07   0.975345E+07  -0.296900E+03  -0.415041E+03   0.000000E+00   0.978374E+07   0.978374E+07   0.978374E+07  -0.231460E+00   0.510724E+07   0.510669E+07   0.742523E+01
   0.271445E-01   0.905166E+07   0.901233E+07  -0.242614E+03  -0.314454E+03   0.000000E+00   0.904544E+07   0.904544E+07   0.904544E+07  -0.213994E+00   0.472184E+07   0.472129E+07   0.677917E+01
   0.299857E-01   0.830971E+07   0.826760E+07  -0.181553E+03  -0.236541E+03   0.000000E+00   0.830305E+07   0.830305E+07   0.830305E+07  -0.196430E+00   0.433431E+07   0.433376E+07   0.612192E+01
   0.331243E-01   0.757799E+07   0.753405E+07  -0.135654E+03  -0.176752E+03   0.000000E+00   0.757104E+07   0.757104E+07   0.757104E+07  -0.179113E+00   0.395220E+07   0.395166E+07   0.543815E+01
   0.365914E-01   0.687392E+07   0.682955E+07  -0.113296E+03  -0.131374E+03   0.000000E+00   0.686690E+07   0.686690E+07   0.686690E+07  -0.162454E+00   0.358463E+07   0.358411E+07   0.471998E+01
   0.404215E-01   0.621653E+07   0.617353E+07  -0.787688E+02  -0.973549E+02   0.000000E+00   0.620973E+07   0.620973E+07   0.620973E+07  -0.146907E+00   0.324158E+07   0.324110E+07   0.397063E+01
   0.446524E-01   0.562075E+07   0.558113E+07  -0.708175E+02  -0.721321E+02   0.000000E+00   0.561448E+07   0.561448E+07   0.561448E+07  -0.132825E+00   0.293085E+07   0.293042E+07   0.320751E+01
   0.491176E-01   0.512627E+07   0.509171E+07  -0.533800E+02  -0.543709E+02   0.000000E+00   0.512081E+07   0.512081E+07   0.512081E+07  -0.121146E+00   0.267314E+07   0.267277E+07   0.249648E+01
   0.535829E-01   0.473772E+07   0.470893E+07  -0.414577E+02  -0.422274E+02   0.000000E+00   0.473317E+07   0.473317E+07   0.473317E+07  -0.111975E+00   0.247078E+07   0.247047E+07   0.190013E+01
   0.580481E-01   0.442468E+07   0.440154E+07  -0.329945E+02  -0.336070E+02   0.000000E+00   0.442102E+07   0.442102E+07   0.442102E+07  -0.104591E+00   0.230783E+07   0.230758E+07   0.142859E+01
   0.625134E-01   0.415833E+07   0.414006E+07  -0.267398E+02  -0.272362E+02   0.000000E+00   0.415544E+07   0.415544E+07   0.415544E+07  -0.983079E-01   0.216919E+07   0.216899E+07   0.108067E+01
   0.669786E-01   0.391928E+07   0.390464E+07  -0.219562E+02  -0.223638E+02   0.000000E+00   0.391696E+07   0.391696E+07   0.391696E+07  -0.926660E-01   0.204470E+07   0.204453E+07   0.845606E+00
   0.714438E-01   0.369344E+07   0.368102E+07  -0.181864E+02  -0.185241E+02   0.000000E+00   0.369148E+07   0.369148E+07   0.369148E+07  -0.873316E-01   0.192699E+07   0.192684E+07   0.704583E+00
   0.759091E-01   0.347147E+07   0.345990E+07  -0.151417E+02  -0.154228E+02   0.000000E+00   0.346964E+07   0.346964E+07   0.346964E+07  -0.820833E-01   0.181119E+07   0.181104E+07   0.633896E+00
   0.803743E-01   0.324985E+07   0.323806E+07  -0.126433E+02  -0.128781E+02   0.000000E+00   0.324798E+07   0.324798E+07   0.324798E+07  -0.768396E-01   0.169548E+07   0.169534E+07   0.608627E+00
   0.848395E-01   0.303116E+07   0.301847E+07  -0.105831E+02  -0.107796E+02   0.000000E+00   0.302915E+07   0.302915E+07   0.302915E+07  -0.716624E-01   0.158125E+07   0.158110E+07   0.605972E+00
   0.893048E-01   0.282141E+07   0.280757E+07  -0.888948E+01  -0.905451E+01   0.000000E+00   0.281922E+07   0.281922E+07   0.281922E+07  -0.666960E-01   0.147167E+07   0.147151E+07   0.607557E+00
   0.937700E-01   0.262708E+07   0.261225E+07  -0.750694E+01  -0.764630E+01   0.000000E+00   0.262474E+07   0.262474E+07   0.262474E+07  -0.620950E-01   0.137015E+07   0.136998E+07   0.600673E+00
   0.993124E-01   0.241493E+07   0.239951E+07  -0.615138E+01  -0.626557E+01   0.000000E+00   0.241249E+07   0.241249E+07   0.241249E+07  -0.570738E-01   0.125936E+07   0.125919E+07   0.570666E+00
   0.104855E+00   0.223997E+07   0.222492E+07  -0.511822E+01  -0.521323E+01   0.000000E+00   0.223759E+07   0.223759E+07   0.223759E+07  -0.529359E-01   0.116805E+07   0.116789E+07   0.515830E+00
   0.110397E+00   0.210206E+07   0.208829E+07  -0.433304E+01  -0.441348E+01   0.000000E+00   0.209988E+07   0.209988E+07   0.209988E+07  -0.496782E-01   0.109617E+07   0.109602E+07   0.443540E+00
   0.115939E+00   0.199501E+07   0.198310E+07  -0.372888E+01  -0.379810E+01   0.000000E+00   0.199313E+07   0.199313E+07   0.199313E+07  -0.471527E-01   0.104044E+07   0.104031E+07   0.365600E+00
   0.121482E+00   0.190834E+07   0.189847E+07  -0.324918E+01  -0.330950E+01   0.000000E+00   0.190678E+07   0.190678E+07   0.190678E+07  -0.451098E-01   0.995362E+06   0.995255E+06   0.293811E+00
   0.127024E+00   0.183084E+07   0.182277E+07  -0.285143E+01  -0.290437E+01   0.000000E+00   0.182956E+07   0.182956E+07   0.182956E+07  -0.432831E-01   0.955054E+06   0.954963E+06   0.236805E+00
   0.132566E+00   0.175393E+07   0.174711E+07  -0.250819E+01  -0.255476E+01   0.000000E+00   0.175285E+07   0.175285E+07   0.175285E+07  -0.414683E-01   0.915009E+06   0.914930E+06   0.198521E+00
   0.138109E+00   0.167318E+07   0.166696E+07  -0.220458E+01  -0.224551E+01   0.000000E+00   0.167220E+07   0.167220E+07   0.167220E+07  -0.395602E-01   0.872906E+06   0.872832E+06   0.178198E+00
   0.143651E+00   0.158786E+07   0.158165E+07  -0.193379E+01  -0.196969E+01   0.000000E+00   0.158687E+07   0.158687E+07   0.158687E+07  -0.375417E-01   0.828366E+06   0.828292E+06   0.171503E+00
   0.149193E+00   0.149978E+07   0.149320E+07  -0.169324E+01  -0.172467E+01   0.000000E+00   0.149874E+07   0.149874E+07   0.149874E+07  -0.354567E-01   0.782361E+06   0.782284E+06   0.172304E+00
   0.154736E+00   0.141277E+07   0.140568E+07  -0.148267E+01  -0.151019E+01   0.000000E+00   0.141165E+07   0.141165E+07   0.141165E+07  -0.333963E-01   0.736901E+06   0.736820E+06   0.174547E+00
   0.160278E+00   0.133181E+07   0.132432E+07  -0.130260E+01  -0.132679E+01   0.000000E+00   0.133063E+07   0.133063E+07   0.133063E+07  -0.314795E-01   0.694606E+06   0.694522E+06   0.173684E+00
   0.165820E+00   0.126108E+07   0.125347E+07  -0.115229E+01  -0.117368E+01   0.000000E+00   0.125988E+07   0.125988E+07   0.125988E+07  -0.298057E-01   0.657673E+06   0.657590E+06   0.167366E+00
   0.171363E+00   0.120213E+07   0.119475E+07  -0.102850E+01  -0.104760E+01   0.000000E+00   0.120096E+07   0.120096E+07   0.120096E+07  -0.284120E-01   0.626921E+06   0.626841E+06   0.155456E+00
   0.176905E+00   0.115397E+07   0.114711E+07  -0.926429E+00  -0.943627E+00   0.000000E+00   0.115289E+07   0.115289E+07   0.115289E+07  -0.272746E-01   0.601823E+06   0.601749E+06   0.139533E+00
   0.182447E+00   0.111426E+07   0.110810E+07  -0.841070E+00  -0.856684E+00   0.000000E+00   0.111329E+07   0.111329E+07   0.111329E+07  -0.263377E-01   0.581150E+06   0.581083E+06   0.122106E+00
   0.187990E+00   0.107997E+07   0.107455E+07  -0.767880E+00  -0.782136E+00   0.000000E+00   0.107911E+07   0.107911E+07   0.107911E+07  -0.255292E-01   0.563310E+06   0.563251E+06   0.105746E+00
