#    L    TT             EE             BB             TE             PP             TP             EP          
   110   0.301683E+04   0.912336E+00   0.000000E+00  -0.297379E+02   0.957218E-07   0.327649E-03  -0.916736E-06
   111   0.304992E+04   0.924879E+00   0.000000E+00  -0.303811E+02   0.951293E-07   0.324076E-03  -0.909739E-06
   112   0.308316E+04   0.937134E+00   0.000000E+00  -0.310192E+02   0.945410E-07   0.320549E-03  -0.906977E-06
   113   0.311655E+04   0.949079E+00   0.000000E+00  -0.316518E+02   0.939568E-07   0.317070E-03  -0.908105E-06
   114   0.315007E+04   0.960699E+00   0.000000E+00  -0.322782E+02   0.933767E-07   0.313637E-03  -0.912776E-06
   115   0.318373E+04   0.971993E+00   0.000000E+00  -0.328979E+02   0.928007E-07   0.310250E-03  -0.920645E-06
   116   0.321751E+04   0.982946E+00   0.000000E+00  -0.335104E+02   0.922288E-07   0.306911E-03  -0.931365E-06
   117   0.325141E+04   0.993536E+00   0.000000E+00  -0.341151E+02   0.916611E-07   0.303620E-03  -0.944590E-06
   118   0.328542E+04   0.100376E+01   0.000000E+00  -0.347113E+02   0.910974E-07   0.300375E-03  -0.959975E-06
   119   0.331953E+04   0.101361E+01   0.000000E+00  -0.352986E+02   0.905378E-07   0.297179E-03  -0.977175E-06
   120   0.335374E+04   0.102307E+01   0.000000E+00  -0.358764E+02   0.899823E-07   0.294030E-03  -0.995844E-06
   121   0.338803E+04   0.103213E+01   0.000000E+00  -0.364441E+02   0.894308E-07   0.290929E-03  -0.101564E-05
   122   0.342240E+04   0.104079E+01   0.000000E+00  -0.370012E+02   0.888835E-07   0.287876E-03  -0.103621E-05
   123   0.345684E+04   0.104902E+01   0.000000E+00  -0.375471E+02   0.883403E-07   0.284872E-03  -0.105722E-05
   124   0.349134E+04   0.105683E+01   0.000000E+00  -0.380813E+02   0.878012E-07   0.281916E-03  -0.107832E-05
   125   0.352589E+04   0.106420E+01   0.000000E+00  -0.386032E+02   0.872661E-07   0.279009E-03  -0.109916E-05
   126   0.356049E+04   0.107112E+01   0.000000E+00  -0.391123E+02   0.867352E-07   0.276151E-03  -0.111940E-05
   127   0.359512E+04   0.107760E+01   0.000000E+00  -0.396081E+02   0.862083E-07   0.273342E-03  -0.113870E-05
   128   0.362977E+04   0.108362E+01   0.000000E+00  -0.400900E+02   0.856856E-07   0.270583E-03  -0.115672E-05
   129   0.366444E+04   0.108918E+01   0.000000E+00  -0.405575E+02   0.851669E-07   0.267873E-03  -0.117310E-05
   130   0.369913E+04   0.109425E+01   0.000000E+00  -0.410101E+02   0.846524E-07   0.265212E-03  -0.118751E-05
   131   0.373380E+04   0.109885E+01   0.000000E+00  -0.414472E+02   0.841419E-07   0.262601E-03  -0.119967E-05
   132   0.376848E+04   0.110298E+01   0.000000E+00  -0.418684E+02   0.836355E-07   0.260039E-03  -0.120961E-05
   133   0.380313E+04   0.110661E+01   0.000000E+00  -0.422732E+02   0.831332E-07   0.257523E-03  -0.121743E-05
   134   0.383776E+04   0.110976E+01   0.000000E+00  -0.426611E+02   0.826348E-07   0.255052E-03  -0.122323E-05
   135   0.387236E+04   0.111241E+01   0.000000E+00  -0.430317E+02   0.821405E-07   0.252626E-03  -0.122711E-05
   136   0.390692E+04   0.111458E+01   0.000000E+00  -0.433845E+02   0.816501E-07   0.250242E-03  -0.122916E-05
   137   0.394144E+04   0.111624E+01   0.000000E+00  -0.437188E+02   0.811636E-07   0.247898E-03  -0.122949E-05
   138   0.397590E+04   0.111741E+01   0.000000E+00  -0.440345E+02   0.806810E-07   0.245594E-03  -0.122819E-05
   139   0.401029E+04   0.111809E+01   0.000000E+00  -0.443311E+02   0.802024E-07   0.243328E-03  -0.122537E-05
   140   0.404462E+04   0.111827E+01   0.000000E+00  -0.446081E+02   0.797275E-07   0.241098E-03  -0.122111E-05
   141   0.407887E+04   0.111796E+01   0.000000E+00  -0.448651E+02   0.792565E-07   0.238902E-03  -0.121553E-05
   142   0.411303E+04   0.111715E+01   0.000000E+00  -0.451018E+02   0.787892E-07   0.236740E-03  -0.120871E-05
   143   0.414710E+04   0.111586E+01   0.000000E+00  -0.453177E+02   0.783257E-07   0.234610E-03  -0.120076E-05
   144   0.418107E+04   0.111408E+01   0.000000E+00  -0.455124E+02   0.778660E-07   0.232510E-03  -0.119178E-05
