#    L    TT             EE             TE             PP             TP          
   136   0.390693E+04   0.111458E+01  -0.433845E+02   0.372900E+07   0.423208E+04
   137   0.394144E+04   0.111624E+01  -0.437189E+02   0.370693E+07   0.419274E+04
   138   0.397590E+04   0.111741E+01  -0.440346E+02   0.368503E+07   0.415405E+04
   139   0.401030E+04   0.111809E+01  -0.443311E+02   0.366329E+07   0.411600E+04
   140   0.404463E+04   0.111827E+01  -0.446081E+02   0.364172E+07   0.407855E+04
   141   0.407887E+04   0.111796E+01  -0.448652E+02   0.362032E+07   0.404168E+04
   142   0.411303E+04   0.111715E+01  -0.451018E+02   0.359908E+07   0.400536E+04
   143   0.414711E+04   0.111586E+01  -0.453177E+02   0.357801E+07   0.396958E+04
   144   0.418107E+04   0.111408E+01  -0.455124E+02   0.355711E+07   0.393430E+04
   145   0.421492E+04   0.111181E+01  -0.456855E+02   0.353636E+07   0.389949E+04
   146   0.424863E+04   0.110907E+01  -0.458367E+02   0.351578E+07   0.386514E+04
   147   0.428220E+04   0.110586E+01  -0.459655E+02   0.349536E+07   0.383122E+04
   148   0.431561E+04   0.110218E+01  -0.460714E+02   0.347509E+07   0.379770E+04
   149   0.434885E+04   0.109804E+01  -0.461543E+02   0.345499E+07   0.376456E+04
   150   0.438190E+04   0.109345E+01  -0.462135E+02   0.343504E+07   0.373177E+04
   151   0.441474E+04   0.108842E+01  -0.462487E+02   0.341525E+07   0.369932E+04
   152   0.444738E+04   0.108294E+01  -0.462598E+02   0.339562E+07   0.366718E+04
   153   0.447981E+04   0.107705E+01  -0.462464E+02   0.337614E+07   0.363538E+04
   154   0.451201E+04   0.107075E+01  -0.462083E+02   0.335681E+07   0.360389E+04
   155   0.454399E+04   0.106404E+01  -0.461452E+02   0.333764E+07   0.357272E+04
   156   0.457575E+04   0.105694E+01  -0.460569E+02   0.331862E+07   0.354188E+04
   157   0.460728E+04   0.104946E+01  -0.459431E+02   0.329975E+07   0.351134E+04
   158   0.463856E+04   0.104163E+01  -0.458035E+02   0.328103E+07   0.348113E+04
   159   0.466960E+04   0.103343E+01  -0.456380E+02   0.326246E+07   0.345123E+04
   160   0.470038E+04   0.102491E+01  -0.454464E+02   0.324404E+07   0.342164E+04
   161   0.473088E+04   0.101606E+01  -0.452284E+02   0.322576E+07   0.339236E+04
   162   0.476109E+04   0.100691E+01  -0.449839E+02   0.320764E+07   0.336339E+04
   163   0.479100E+04   0.997491E+00  -0.447126E+02   0.318965E+07   0.333473E+04
   164   0.482060E+04   0.987793E+00  -0.444143E+02   0.317182E+07   0.330637E+04
   165   0.484988E+04   0.977843E+00  -0.440889E+02   0.315412E+07   0.327832E+04
   166   0.487882E+04   0.967663E+00  -0.437363E+02   0.313657E+07   0.325057E+04
   167   0.490742E+04   0.957274E+00  -0.433562E+02   0.311916E+07   0.322312E+04
   168   0.493567E+04   0.946701E+00  -0.429488E+02   0.310189E+07   0.319596E+04
   169   0.496356E+04   0.935963E+00  -0.425139E+02   0.308477E+07   0.316911E+04
   170   0.499108E+04   0.925078E+00  -0.420514E+02   0.306778E+07   0.314255E+04
   171   0.501822E+04   0.914073E+00  -0.415613E+02   0.305093E+07   0.311629E+04
   172   0.504499E+04   0.902971E+00  -0.410435E+02   0.303421E+07   0.309031E+04
   173   0.507136E+04   0.891795E+00  -0.404980E+02   0.301764E+07   0.306463E+04
   174   0.509733E+04   0.880567E+00  -0.399248E+02   0.300119E+07   0.303924E+04
   175   0.512289E+04   0.869324E+00  -0.393239E+02   0.298489E+07   0.301413E+04
   176   0.514803E+04   0.858080E+00  -0.386953E+02   0.296872E+07   0.298931E+04
   177   0.517274E+04   0.846873E+00  -0.380391E+02   0.295267E+07   0.296477E+04
   178   0.519701E+04   0.835724E+00  -0.373553E+02   0.293677E+07   0.294051E+04
   179   0.522083E+04   0.824658E+00  -0.366439E+02   0.292099E+07   0.291651E+04
   180   0.524421E+04   0.813709E+00  -0.359050E+02   0.290534E+07   0.289277E+04
   181   0.526712E+04   0.802909E+00  -0.351389E+02   0.288981E+07   0.286929E+04
   182   0.528957E+04   0.792287E+00  -0.343455E+02   0.287442E+07   0.284607E+04
   183   0.531154E+04   0.781865E+00  -0.335250E+02   0.285914E+07   0.282309E+04
   184   0.533304E+04   0.771681E+00  -0.326778E+02   0.284400E+07   0.280034E+04
   185   0.535404E+04   0.761771E+00  -0.318036E+02   0.282897E+07   0.277784E+04
   186   0.537455E+04   0.752159E+00  -0.309028E+02   0.281407E+07   0.275556E+04
   187   0.539456E+04   0.742873E+00  -0.299756E+02   0.279928E+07   0.273350E+04
   188   0.541406E+04   0.733955E+00  -0.290222E+02   0.278462E+07   0.271166E+04
   189   0.543304E+04   0.725436E+00  -0.280429E+02   0.277007E+07   0.269003E+04
   190   0.545150E+04   0.717350E+00  -0.270378E+02   0.275564E+07   0.266860E+04
   191   0.546943E+04   0.709729E+00  -0.260073E+02   0.274133E+07   0.264738E+04
   192   0.548682E+04   0.702607E+00  -0.249514E+02   0.272713E+07   0.262635E+04
   193   0.550366E+04   0.696019E+00  -0.238706E+02   0.271304E+07   0.260550E+04
   194   0.551996E+04   0.690000E+00  -0.227651E+02   0.269906E+07   0.258484E+04
   195   0.553570E+04   0.684585E+00  -0.216353E+02   0.268520E+07   0.256435E+04
   196   0.555089E+04   0.679811E+00  -0.204815E+02   0.267144E+07   0.254404E+04
   197   0.556552E+04   0.675714E+00  -0.193042E+02   0.265780E+07   0.252389E+04
   198   0.557960E+04   0.672331E+00  -0.181036E+02   0.264425E+07   0.250390E+04
   199   0.559310E+04   0.669696E+00  -0.168800E+02   0.263082E+07   0.248406E+04
   200   0.560604E+04   0.667846E+00  -0.156341E+02   0.261749E+07   0.246437E+04
   201   0.561840E+04   0.666818E+00  -0.143659E+02   0.260426E+07   0.244482E+04
   202   0.563017E+04   0.666649E+00  -0.130762E+02   0.259113E+07   0.242542E+04
   203   0.564134E+04   0.667374E+00  -0.117651E+02   0.257811E+07   0.240615E+04
   204   0.565191E+04   0.669031E+00  -0.104331E+02   0.256519E+07   0.238702E+04
   205   0.566186E+04   0.671657E+00  -0.908072E+01   0.255236E+07   0.236804E+04
   206   0.567118E+04   0.675287E+00  -0.770830E+01   0.253964E+07   0.234918E+04
   207   0.567986E+04   0.679960E+00  -0.631621E+01   0.252701E+07   0.233047E+04
   208   0.568790E+04   0.685711E+00  -0.490506E+01   0.251448E+07   0.231189E+04
   209   0.569533E+04   0.692576E+00  -0.347538E+01   0.250205E+07   0.229345E+04
   210   0.570212E+04   0.700594E+00  -0.202774E+01   0.248971E+07   0.227514E+04
   211   0.570830E+04   0.709801E+00  -0.562676E+00   0.247747E+07   0.225696E+04
   212   0.571387E+04   0.720232E+00   0.919249E+00   0.246532E+07   0.223892E+04
   213   0.571883E+04   0.731926E+00   0.241748E+01   0.245327E+07   0.222101E+04
   214   0.572319E+04   0.744919E+00   0.393146E+01   0.244131E+07   0.220323E+04
   215   0.572695E+04   0.759240E+00   0.546061E+01   0.242944E+07   0.218558E+04
   216   0.573010E+04   0.774936E+00   0.700432E+01   0.241766E+07   0.216806E+04
   217   0.573263E+04   0.792036E+00   0.856199E+01   0.240597E+07   0.215066E+04
   218   0.573455E+04   0.810570E+00   0.101331E+02   0.239437E+07   0.213340E+04
   219   0.573584E+04   0.830582E+00   0.117170E+02   0.238286E+07   0.211626E+04
   220   0.573650E+04   0.852101E+00   0.133131E+02   0.237143E+07   0.209924E+04
   221   0.573654E+04   0.875159E+00   0.149207E+02   0.236009E+07   0.208235E+04
   222   0.573595E+04   0.899799E+00   0.165394E+02   0.234884E+07   0.206559E+04
   223   0.573472E+04   0.926043E+00   0.181684E+02   0.233767E+07   0.204895E+04
   224   0.573287E+04   0.953929E+00   0.198070E+02   0.232659E+07   0.203243E+04
   225   0.573040E+04   0.983479E+00   0.214546E+02   0.231559E+07   0.201603E+04
   226   0.572730E+04   0.101474E+01   0.231105E+02   0.230468E+07   0.199975E+04
   227   0.572357E+04   0.104773E+01   0.247741E+02   0.229384E+07   0.198360E+04
   228   0.571922E+04   0.108249E+01   0.264447E+02   0.228309E+07   0.196756E+04
   229   0.571426E+04   0.111905E+01   0.281215E+02   0.227242E+07   0.195164E+04
   230   0.570867E+04   0.115743E+01   0.298040E+02   0.226182E+07   0.193583E+04
   231   0.570247E+04   0.119765E+01   0.314914E+02   0.225131E+07   0.192015E+04
   232   0.569566E+04   0.123976E+01   0.331830E+02   0.224087E+07   0.190458E+04
   233   0.568823E+04   0.128377E+01   0.348782E+02   0.223051E+07   0.188912E+04
   234   0.568018E+04   0.132971E+01   0.365760E+02   0.222022E+07   0.187378E+04
   235   0.567154E+04   0.137762E+01   0.382760E+02   0.221001E+07   0.185855E+04
   236   0.566227E+04   0.142751E+01   0.399774E+02   0.219988E+07   0.184343E+04
   237   0.565242E+04   0.147941E+01   0.416793E+02   0.218981E+07   0.182843E+04
   238   0.564196E+04   0.153333E+01   0.433811E+02   0.217983E+07   0.181353E+04
   239   0.563091E+04   0.158929E+01   0.450822E+02   0.216991E+07   0.179874E+04
   240   0.561926E+04   0.164734E+01   0.467815E+02   0.216006E+07   0.178407E+04
   241   0.560702E+04   0.170748E+01   0.484785E+02   0.215029E+07   0.176950E+04
   242   0.559420E+04   0.176973E+01   0.501725E+02   0.214058E+07   0.175504E+04
   243   0.558079E+04   0.183411E+01   0.518626E+02   0.213094E+07   0.174068E+04
   244   0.556681E+04   0.190063E+01   0.535482E+02   0.212137E+07   0.172643E+04
   245   0.555227E+04   0.196933E+01   0.552286E+02   0.211187E+07   0.171228E+04
   246   0.553716E+04   0.204020E+01   0.569030E+02   0.210243E+07   0.169824E+04
   247   0.552150E+04   0.211326E+01   0.585708E+02   0.209306E+07   0.168430E+04
   248   0.550528E+04   0.218854E+01   0.602310E+02   0.208375E+07   0.167047E+04
   249   0.548852E+04   0.226603E+01   0.618831E+02   0.207451E+07   0.165673E+04
   250   0.547122E+04   0.234576E+01   0.635263E+02   0.206533E+07   0.164309E+04
   251   0.545338E+04   0.242772E+01   0.651597E+02   0.205621E+07   0.162956E+04
   252   0.543501E+04   0.251194E+01   0.667827E+02   0.204716E+07   0.161612E+04
   253   0.541609E+04   0.259840E+01   0.683943E+02   0.203816E+07   0.160278E+04
   254   0.539666E+04   0.268713E+01   0.699938E+02   0.202923E+07   0.158954E+04
   255   0.537669E+04   0.277812E+01   0.715804E+02   0.202035E+07   0.157639E+04
   256   0.535620E+04   0.287138E+01   0.731534E+02   0.201154E+07   0.156334E+04
   257   0.533520E+04   0.296691E+01   0.747121E+02   0.200278E+07   0.155038E+04
   258   0.531370E+04   0.306471E+01   0.762555E+02   0.199409E+07   0.153752E+04
   259   0.529170E+04   0.316479E+01   0.777840E+02   0.198545E+07   0.152475E+04
   260   0.526924E+04   0.326715E+01   0.792955E+02   0.197687E+07   0.151208E+04
   261   0.524631E+04   0.337177E+01   0.807907E+02   0.196834E+07   0.149949E+04
   262   0.522293E+04   0.347867E+01   0.822680E+02   0.195988E+07   0.148699E+04
   263   0.519912E+04   0.358784E+01   0.837275E+02   0.195147E+07   0.147459E+04
   264   0.517487E+04   0.369928E+01   0.851677E+02   0.194311E+07   0.146227E+04
   265   0.515019E+04   0.381297E+01   0.865893E+02   0.193481E+07   0.145005E+04
   266   0.512509E+04   0.392890E+01   0.879901E+02   0.192657E+07   0.143791E+04
   267   0.509958E+04   0.404706E+01   0.893694E+02   0.191838E+07   0.142585E+04
   268   0.507366E+04   0.416744E+01   0.907280E+02   0.191025E+07   0.141389E+04
   269   0.504733E+04   0.429004E+01   0.920635E+02   0.190217E+07   0.140200E+04
   270   0.502060E+04   0.441483E+01   0.933767E+02   0.189414E+07   0.139021E+04
   271   0.499349E+04   0.454180E+01   0.946654E+02   0.188616E+07   0.137849E+04
   272   0.496599E+04   0.467094E+01   0.959304E+02   0.187824E+07   0.136686E+04
   273   0.493814E+04   0.480221E+01   0.971701E+02   0.187037E+07   0.135531E+04
   274   0.490992E+04   0.493562E+01   0.983853E+02   0.186255E+07   0.134384E+04
   275   0.488135E+04   0.507112E+01   0.995738E+02   0.185478E+07   0.133246E+04
   276   0.485246E+04   0.520872E+01   0.100736E+03   0.184706E+07   0.132115E+04
   277   0.482324E+04   0.534838E+01   0.101871E+03   0.183939E+07   0.130992E+04
   278   0.479370E+04   0.549008E+01   0.102978E+03   0.183177E+07   0.129877E+04
   279   0.476385E+04   0.563379E+01   0.104058E+03   0.182420E+07   0.128769E+04
   280   0.473371E+04   0.577947E+01   0.105108E+03   0.181667E+07   0.127669E+04
   281   0.470329E+04   0.592712E+01   0.106129E+03   0.180920E+07   0.126577E+04
   282   0.467259E+04   0.607668E+01   0.107121E+03   0.180177E+07   0.125492E+04
   283   0.464163E+04   0.622814E+01   0.108083E+03   0.179439E+07   0.124415E+04
   284   0.461041E+04   0.638146E+01   0.109013E+03   0.178706E+07   0.123345E+04
   285   0.457894E+04   0.653661E+01   0.109912E+03   0.177977E+07   0.122282E+04
   286   0.454724E+04   0.669356E+01   0.110779E+03   0.177253E+07   0.121226E+04
   287   0.451532E+04   0.685225E+01   0.111615E+03   0.176533E+07   0.120178E+04
   288   0.448318E+04   0.701267E+01   0.112418E+03   0.175818E+07   0.119136E+04
   289   0.445084E+04   0.717477E+01   0.113188E+03   0.175107E+07   0.118102E+04
   290   0.441832E+04   0.733851E+01   0.113925E+03   0.174400E+07   0.117074E+04
   291   0.438561E+04   0.750386E+01   0.114628E+03   0.173698E+07   0.116053E+04
   292   0.435273E+04   0.767071E+01   0.115297E+03   0.173000E+07   0.115038E+04
   293   0.431968E+04   0.783911E+01   0.115931E+03   0.172307E+07   0.114031E+04
   294   0.428648E+04   0.800900E+01   0.116530E+03   0.171617E+07   0.113029E+04
   295   0.425314E+04   0.818023E+01   0.117094E+03   0.170932E+07   0.112035E+04
   296   0.421966E+04   0.835287E+01   0.117623E+03   0.170250E+07   0.111046E+04
   297   0.418605E+04   0.852678E+01   0.118114E+03   0.169573E+07   0.110064E+04
   298   0.415233E+04   0.870194E+01   0.118570E+03   0.168900E+07   0.109088E+04
   299   0.411850E+04   0.887830E+01   0.118988E+03   0.168231E+07   0.108118E+04
   300   0.408458E+04   0.905577E+01   0.119370E+03   0.167565E+07   0.107154E+04
   301   0.405058E+04   0.923443E+01   0.119714E+03   0.166904E+07   0.106197E+04
   302   0.401651E+04   0.941406E+01   0.120022E+03   0.166246E+07   0.105245E+04
   303   0.398238E+04   0.959472E+01   0.120292E+03   0.165592E+07   0.104299E+04
   304   0.394821E+04   0.977636E+01   0.120525E+03   0.164942E+07   0.103359E+04
   305   0.391401E+04   0.995888E+01   0.120720E+03   0.164296E+07   0.102425E+04
   306   0.387978E+04   0.101423E+02   0.120878E+03   0.163653E+07   0.101498E+04
   307   0.384554E+04   0.103265E+02   0.120997E+03   0.163014E+07   0.100576E+04
   308   0.381130E+04   0.105114E+02   0.121079E+03   0.162379E+07   0.996605E+03
   309   0.377707E+04   0.106969E+02   0.121123E+03   0.161747E+07   0.987511E+03
   310   0.374285E+04   0.108830E+02   0.121129E+03   0.161119E+07   0.978478E+03
   311   0.370866E+04   0.110697E+02   0.121095E+03   0.160494E+07   0.969506E+03
   312   0.367451E+04   0.112568E+02   0.121024E+03   0.159873E+07   0.960596E+03
   313   0.364041E+04   0.114444E+02   0.120914E+03   0.159256E+07   0.951748E+03
   314   0.360636E+04   0.116323E+02   0.120765E+03   0.158642E+07   0.942962E+03
   315   0.357238E+04   0.118204E+02   0.120578E+03   0.158032E+07   0.934238E+03
   316   0.353848E+04   0.120088E+02   0.120352E+03   0.157425E+07   0.925576E+03
   317   0.350466E+04   0.121973E+02   0.120089E+03   0.156821E+07   0.916976E+03
   318   0.347096E+04   0.123858E+02   0.119786E+03   0.156221E+07   0.908440E+03
   319   0.343735E+04   0.125744E+02   0.119445E+03   0.155624E+07   0.899966E+03
   320   0.340386E+04   0.127629E+02   0.119067E+03   0.155031E+07   0.891555E+03
   321   0.337051E+04   0.129513E+02   0.118650E+03   0.154441E+07   0.883208E+03
