#    L    TT             EE             BB             TE             PP             TP             EP          
   143   0.414710E+04   0.111586E+01   0.000000E+00  -0.453177E+02   0.783109E-07   0.234574E-03  -0.120076E-05
   144   0.418107E+04   0.111408E+01   0.000000E+00  -0.455124E+02   0.778545E-07   0.232478E-03  -0.119178E-05
   145   0.421492E+04   0.111181E+01   0.000000E+00  -0.456855E+02   0.774017E-07   0.230410E-03  -0.118186E-05
   146   0.424863E+04   0.110907E+01   0.000000E+00  -0.458367E+02   0.769527E-07   0.228370E-03  -0.117110E-05
   147   0.428220E+04   0.110586E+01   0.000000E+00  -0.459654E+02   0.765073E-07   0.226355E-03  -0.115960E-05
   148   0.431561E+04   0.110218E+01   0.000000E+00  -0.460714E+02   0.760655E-07   0.224365E-03  -0.114747E-05
   149   0.434885E+04   0.109804E+01   0.000000E+00  -0.461542E+02   0.756273E-07   0.222397E-03  -0.113479E-05
   150   0.438190E+04   0.109345E+01   0.000000E+00  -0.462134E+02   0.751927E-07   0.220451E-03  -0.112167E-05
   151   0.441474E+04   0.108842E+01   0.000000E+00  -0.462487E+02   0.747616E-07   0.218525E-03  -0.110819E-05
   152   0.444738E+04   0.108294E+01   0.000000E+00  -0.462598E+02   0.743339E-07   0.216618E-03  -0.109438E-05
   153   0.447981E+04   0.107705E+01   0.000000E+00  -0.462464E+02   0.739098E-07   0.214731E-03  -0.108028E-05
   154   0.451201E+04   0.107075E+01   0.000000E+00  -0.462083E+02   0.734891E-07   0.212863E-03  -0.106590E-05
   155   0.454399E+04   0.106404E+01   0.000000E+00  -0.461452E+02   0.730719E-07   0.211014E-03  -0.105126E-05
   156   0.457575E+04   0.105694E+01   0.000000E+00  -0.460569E+02   0.726581E-07   0.209185E-03  -0.103638E-05
   157   0.460727E+04   0.104946E+01   0.000000E+00  -0.459430E+02   0.722477E-07   0.207374E-03  -0.102129E-05
   158   0.463856E+04   0.104163E+01   0.000000E+00  -0.458035E+02   0.718406E-07   0.205583E-03  -0.100602E-05
   159   0.466960E+04   0.103343E+01   0.000000E+00  -0.456380E+02   0.714369E-07   0.203810E-03  -0.990572E-06
   160   0.470038E+04   0.102491E+01   0.000000E+00  -0.454464E+02   0.710365E-07   0.202057E-03  -0.974981E-06
   161   0.473087E+04   0.101606E+01   0.000000E+00  -0.452284E+02   0.706394E-07   0.200321E-03  -0.959266E-06
   162   0.476109E+04   0.100691E+01   0.000000E+00  -0.449839E+02   0.702456E-07   0.198605E-03  -0.943449E-06
   163   0.479100E+04   0.997491E+00   0.000000E+00  -0.447126E+02   0.698550E-07   0.196907E-03  -0.927552E-06
   164   0.482060E+04   0.987793E+00   0.000000E+00  -0.444143E+02   0.694677E-07   0.195227E-03  -0.911597E-06
   165   0.484987E+04   0.977843E+00   0.000000E+00  -0.440889E+02   0.690835E-07   0.193565E-03  -0.895607E-06
   166   0.487881E+04   0.967663E+00   0.000000E+00  -0.437363E+02   0.687026E-07   0.191921E-03  -0.879604E-06
   167   0.490741E+04   0.957275E+00   0.000000E+00  -0.433562E+02   0.683248E-07   0.190295E-03  -0.863609E-06
   168   0.493566E+04   0.946701E+00   0.000000E+00  -0.429488E+02   0.679501E-07   0.188688E-03  -0.847645E-06
   169   0.496355E+04   0.935964E+00   0.000000E+00  -0.425139E+02   0.675786E-07   0.187098E-03  -0.831734E-06
   170   0.499108E+04   0.925078E+00   0.000000E+00  -0.420514E+02   0.672102E-07   0.185525E-03  -0.815898E-06
   171   0.501822E+04   0.914073E+00   0.000000E+00  -0.415613E+02   0.668448E-07   0.183970E-03  -0.800159E-06
   172   0.504499E+04   0.902972E+00   0.000000E+00  -0.410435E+02   0.664825E-07   0.182433E-03  -0.784539E-06
   173   0.507136E+04   0.891796E+00   0.000000E+00  -0.404980E+02   0.661232E-07   0.180913E-03  -0.769059E-06
   174   0.509733E+04   0.880567E+00   0.000000E+00  -0.399247E+02   0.657669E-07   0.179410E-03  -0.753743E-06
   175   0.512289E+04   0.869324E+00   0.000000E+00  -0.393239E+02   0.654136E-07   0.177924E-03  -0.738613E-06
   176   0.514803E+04   0.858080E+00   0.000000E+00  -0.386953E+02   0.650633E-07   0.176455E-03  -0.723683E-06
   177   0.517274E+04   0.846873E+00   0.000000E+00  -0.380391E+02   0.647159E-07   0.175003E-03  -0.708950E-06
   178   0.519700E+04   0.835725E+00   0.000000E+00  -0.373553E+02   0.643714E-07   0.173567E-03  -0.694401E-06
   179   0.522083E+04   0.824658E+00   0.000000E+00  -0.366439E+02   0.640297E-07   0.172147E-03  -0.680024E-06
   180   0.524421E+04   0.813709E+00   0.000000E+00  -0.359050E+02   0.636909E-07   0.170743E-03  -0.665809E-06
   181   0.526712E+04   0.802909E+00   0.000000E+00  -0.351389E+02   0.633550E-07   0.169354E-03  -0.651743E-06
   182   0.528957E+04   0.792287E+00   0.000000E+00  -0.343455E+02   0.630218E-07   0.167979E-03  -0.637815E-06
   183   0.531154E+04   0.781866E+00   0.000000E+00  -0.335250E+02   0.626914E-07   0.166620E-03  -0.624013E-06
   184   0.533303E+04   0.771681E+00   0.000000E+00  -0.326778E+02   0.623637E-07   0.165275E-03  -0.610327E-06
   185   0.535404E+04   0.761772E+00   0.000000E+00  -0.318036E+02   0.620388E-07   0.163943E-03  -0.596744E-06
   186   0.537455E+04   0.752159E+00   0.000000E+00  -0.309028E+02   0.617165E-07   0.162626E-03  -0.583253E-06
   187   0.539456E+04   0.742873E+00   0.000000E+00  -0.299756E+02   0.613969E-07   0.161321E-03  -0.569843E-06
   188   0.541406E+04   0.733955E+00   0.000000E+00  -0.290222E+02   0.610798E-07   0.160029E-03  -0.556501E-06
   189   0.543304E+04   0.725436E+00   0.000000E+00  -0.280429E+02   0.607654E-07   0.158750E-03  -0.543217E-06
   190   0.545150E+04   0.717350E+00   0.000000E+00  -0.270378E+02   0.604536E-07   0.157483E-03  -0.529979E-06
   191   0.546943E+04   0.709729E+00   0.000000E+00  -0.260073E+02   0.601443E-07   0.156228E-03  -0.516775E-06
   192   0.548682E+04   0.702607E+00   0.000000E+00  -0.249514E+02   0.598375E-07   0.154985E-03  -0.503594E-06
   193   0.550366E+04   0.696019E+00   0.000000E+00  -0.238706E+02   0.595332E-07   0.153753E-03  -0.490424E-06
   194   0.551996E+04   0.690000E+00   0.000000E+00  -0.227651E+02   0.592313E-07   0.152531E-03  -0.477254E-06
   195   0.553570E+04   0.684586E+00   0.000000E+00  -0.216353E+02   0.589319E-07   0.151320E-03  -0.464073E-06
   196   0.555089E+04   0.679811E+00   0.000000E+00  -0.204815E+02   0.586348E-07   0.150119E-03  -0.450868E-06
   197   0.556552E+04   0.675715E+00   0.000000E+00  -0.193042E+02   0.583402E-07   0.148928E-03  -0.437629E-06
   198   0.557960E+04   0.672331E+00   0.000000E+00  -0.181036E+02   0.580479E-07   0.147747E-03  -0.424344E-06
   199   0.559310E+04   0.669696E+00   0.000000E+00  -0.168801E+02   0.577579E-07   0.146574E-03  -0.411002E-06
   200   0.560603E+04   0.667846E+00   0.000000E+00  -0.156341E+02   0.574702E-07   0.145410E-03  -0.397590E-06
   201   0.561839E+04   0.666818E+00   0.000000E+00  -0.143660E+02   0.571847E-07   0.144255E-03  -0.384100E-06
   202   0.563017E+04   0.666649E+00   0.000000E+00  -0.130762E+02   0.569015E-07   0.143109E-03  -0.370533E-06
   203   0.564134E+04   0.667374E+00   0.000000E+00  -0.117651E+02   0.566206E-07   0.141970E-03  -0.356891E-06
   204   0.565191E+04   0.669031E+00   0.000000E+00  -0.104331E+02   0.563418E-07   0.140840E-03  -0.343178E-06
   205   0.566185E+04   0.671657E+00   0.000000E+00  -0.908074E+01   0.560652E-07   0.139718E-03  -0.329397E-06
   206   0.567117E+04   0.675287E+00   0.000000E+00  -0.770831E+01   0.557908E-07   0.138604E-03  -0.315551E-06
   207   0.567986E+04   0.679960E+00   0.000000E+00  -0.631622E+01   0.555186E-07   0.137499E-03  -0.301644E-06
   208   0.568790E+04   0.685711E+00   0.000000E+00  -0.490508E+01   0.552484E-07   0.136402E-03  -0.287677E-06
   209   0.569533E+04   0.692577E+00   0.000000E+00  -0.347540E+01   0.549804E-07   0.135312E-03  -0.273655E-06
   210   0.570212E+04   0.700594E+00   0.000000E+00  -0.202776E+01   0.547145E-07   0.134231E-03  -0.259580E-06
   211   0.570830E+04   0.709801E+00   0.000000E+00  -0.562695E+00   0.544506E-07   0.133157E-03  -0.245456E-06
   212   0.571387E+04   0.720233E+00   0.000000E+00   0.919229E+00   0.541888E-07   0.132092E-03  -0.231286E-06
   213   0.571883E+04   0.731926E+00   0.000000E+00   0.241746E+01   0.539291E-07   0.131034E-03  -0.217072E-06
   214   0.572319E+04   0.744919E+00   0.000000E+00   0.393144E+01   0.536714E-07   0.129984E-03  -0.202818E-06
   215   0.572695E+04   0.759241E+00   0.000000E+00   0.546059E+01   0.534156E-07   0.128941E-03  -0.188528E-06
   216   0.573010E+04   0.774936E+00   0.000000E+00   0.700430E+01   0.531619E-07   0.127907E-03  -0.174203E-06
   217   0.573263E+04   0.792036E+00   0.000000E+00   0.856197E+01   0.529101E-07   0.126880E-03  -0.159848E-06
   218   0.573454E+04   0.810570E+00   0.000000E+00   0.101331E+02   0.526603E-07   0.125860E-03  -0.145465E-06
   219   0.573584E+04   0.830582E+00   0.000000E+00   0.117170E+02   0.524123E-07   0.124848E-03  -0.131058E-06
   220   0.573650E+04   0.852102E+00   0.000000E+00   0.133131E+02   0.521663E-07   0.123844E-03  -0.116629E-06
