#    L    TT             EE             TE             PP             TP          
   230   0.570867E+04   0.115743E+01   0.298040E+02   0.229470E+07   0.194070E+04
   231   0.570247E+04   0.119765E+01   0.314914E+02   0.228423E+07   0.192499E+04
   232   0.569565E+04   0.123976E+01   0.331830E+02   0.227383E+07   0.190940E+04
   233   0.568823E+04   0.128377E+01   0.348781E+02   0.226352E+07   0.189392E+04
   234   0.568018E+04   0.132971E+01   0.365760E+02   0.225328E+07   0.187856E+04
   235   0.567153E+04   0.137762E+01   0.382760E+02   0.224311E+07   0.186331E+04
   236   0.566227E+04   0.142751E+01   0.399773E+02   0.223302E+07   0.184817E+04
   237   0.565241E+04   0.147941E+01   0.416792E+02   0.222300E+07   0.183314E+04
   238   0.564196E+04   0.153333E+01   0.433811E+02   0.221305E+07   0.181822E+04
   239   0.563090E+04   0.158929E+01   0.450821E+02   0.220318E+07   0.180342E+04
   240   0.561926E+04   0.164734E+01   0.467814E+02   0.219337E+07   0.178872E+04
   241   0.560702E+04   0.170748E+01   0.484785E+02   0.218364E+07   0.177413E+04
   242   0.559419E+04   0.176973E+01   0.501725E+02   0.217397E+07   0.175965E+04
   243   0.558079E+04   0.183411E+01   0.518626E+02   0.216438E+07   0.174527E+04
   244   0.556681E+04   0.190063E+01   0.535482E+02   0.215485E+07   0.173100E+04
   245   0.555227E+04   0.196933E+01   0.552286E+02   0.214539E+07   0.171683E+04
   246   0.553716E+04   0.204020E+01   0.569030E+02   0.213599E+07   0.170277E+04
   247   0.552149E+04   0.211326E+01   0.585707E+02   0.212666E+07   0.168881E+04
   248   0.550528E+04   0.218854E+01   0.602309E+02   0.211739E+07   0.167495E+04
   249   0.548852E+04   0.226603E+01   0.618831E+02   0.210819E+07   0.166120E+04
   250   0.547122E+04   0.234576E+01   0.635263E+02   0.209904E+07   0.164754E+04
   251   0.545338E+04   0.242772E+01   0.651597E+02   0.208996E+07   0.163398E+04
   252   0.543500E+04   0.251194E+01   0.667826E+02   0.208095E+07   0.162052E+04
   253   0.541609E+04   0.259840E+01   0.683943E+02   0.207199E+07   0.160716E+04
