#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   102   0.275666E+04  -0.232733E+02   0.328155E-03  -0.232733E+02   0.739933E+00  -0.803630E-06   0.328155E-03  -0.803630E-06   0.901093E-07
   103   0.278823E+04  -0.239127E+02   0.324220E-03  -0.239127E+02   0.753792E+00  -0.824904E-06   0.324220E-03  -0.824904E-06   0.895186E-07
   104   0.282000E+04  -0.245525E+02   0.320356E-03  -0.245525E+02   0.767501E+00  -0.846115E-06   0.320356E-03  -0.846115E-06   0.889317E-07
   105   0.285195E+04  -0.251921E+02   0.316559E-03  -0.251921E+02   0.781055E+00  -0.867143E-06   0.316559E-03  -0.867143E-06   0.883487E-07
   106   0.288408E+04  -0.258310E+02   0.312829E-03  -0.258310E+02   0.794441E+00  -0.887865E-06   0.312829E-03  -0.887865E-06   0.877697E-07
   107   0.291639E+04  -0.264686E+02   0.309163E-03  -0.264686E+02   0.807653E+00  -0.908161E-06   0.309163E-03  -0.908161E-06   0.871947E-07
   108   0.294886E+04  -0.271045E+02   0.305560E-03  -0.271045E+02   0.820670E+00  -0.927910E-06   0.305560E-03  -0.927910E-06   0.866236E-07
   109   0.298150E+04  -0.277381E+02   0.302018E-03  -0.277381E+02   0.833487E+00  -0.946989E-06   0.302018E-03  -0.946989E-06   0.860567E-07
   110   0.301430E+04  -0.283690E+02   0.298535E-03  -0.283690E+02   0.846083E+00  -0.965277E-06   0.298535E-03  -0.965277E-06   0.854939E-07
   111   0.304724E+04  -0.289968E+02   0.295108E-03  -0.289968E+02   0.858451E+00  -0.982672E-06   0.295108E-03  -0.982672E-06   0.849352E-07
   112   0.308034E+04  -0.296206E+02   0.291739E-03  -0.296206E+02   0.870585E+00  -0.999143E-06   0.291739E-03  -0.999143E-06   0.843807E-07
   113   0.311357E+04  -0.302402E+02   0.288425E-03  -0.302402E+02   0.882463E+00  -0.101468E-05   0.288425E-03  -0.101468E-05   0.838303E-07
   114   0.314694E+04  -0.308549E+02   0.285168E-03  -0.308549E+02   0.894069E+00  -0.102927E-05   0.285168E-03  -0.102927E-05   0.832841E-07
