#    L    TT             EE             BB             TE          
   353   0.270709E+04   0.178172E+02   0.319946E-01   0.100891E+03
   354   0.267986E+04   0.179833E+02   0.320932E-01   0.996386E+02
   355   0.265294E+04   0.181477E+02   0.321914E-01   0.983575E+02
   356   0.262633E+04   0.183103E+02   0.322893E-01   0.970481E+02
   357   0.260004E+04   0.184711E+02   0.323868E-01   0.957111E+02
   358   0.257408E+04   0.186298E+02   0.324840E-01   0.943471E+02
   359   0.254845E+04   0.187865E+02   0.325809E-01   0.929558E+02
   360   0.252315E+04   0.189410E+02   0.326775E-01   0.915388E+02
   361   0.249820E+04   0.190933E+02   0.327738E-01   0.900948E+02
   362   0.247359E+04   0.192433E+02   0.328698E-01   0.886256E+02
   363   0.244934E+04   0.193908E+02   0.329656E-01   0.871316E+02
   364   0.242543E+04   0.195360E+02   0.330612E-01   0.856135E+02
   365   0.240190E+04   0.196787E+02   0.331565E-01   0.840718E+02
   366   0.237873E+04   0.198189E+02   0.332517E-01   0.825073E+02
   367   0.235593E+04   0.199564E+02   0.333467E-01   0.809206E+02
   368   0.233351E+04   0.200912E+02   0.334415E-01   0.793124E+02
   369   0.231146E+04   0.202234E+02   0.335362E-01   0.776833E+02
   370   0.228981E+04   0.203527E+02   0.336307E-01   0.760339E+02
   371   0.226853E+04   0.204793E+02   0.337252E-01   0.743649E+02
   372   0.224765E+04   0.206029E+02   0.338196E-01   0.726769E+02
   373   0.222717E+04   0.207236E+02   0.339139E-01   0.709706E+02
   374   0.220708E+04   0.208414E+02   0.340081E-01   0.692467E+02
   375   0.218738E+04   0.209561E+02   0.341023E-01   0.675057E+02
   376   0.216809E+04   0.210677E+02   0.341965E-01   0.657483E+02
   377   0.214921E+04   0.211761E+02   0.342906E-01   0.639750E+02
   378   0.213072E+04   0.212813E+02   0.343848E-01   0.621865E+02
   379   0.211265E+04   0.213832E+02   0.344790E-01   0.603835E+02
   380   0.209500E+04   0.214818E+02   0.345733E-01   0.585666E+02
   381   0.207776E+04   0.215771E+02   0.346676E-01   0.567363E+02
   382   0.206094E+04   0.216688E+02   0.347620E-01   0.548934E+02
   383   0.204454E+04   0.217571E+02   0.348564E-01   0.530384E+02
   384   0.202855E+04   0.218420E+02   0.349510E-01   0.511723E+02
   385   0.201298E+04   0.219233E+02   0.350457E-01   0.492956E+02
   386   0.199784E+04   0.220011E+02   0.351406E-01   0.474091E+02
   387   0.198312E+04   0.220755E+02   0.352356E-01   0.455134E+02
   388   0.196882E+04   0.221463E+02   0.353308E-01   0.436094E+02
   389   0.195494E+04   0.222136E+02   0.354262E-01   0.416977E+02
