#    L    TT             EE             BB             TE             PP             TP             EP          
   119   0.331557E+04   0.947733E+00   0.000000E+00  -0.338373E+02   0.806150E-07   0.269698E-03  -0.108765E-05
   120   0.334960E+04   0.957510E+00   0.000000E+00  -0.344118E+02   0.800935E-07   0.266765E-03  -0.109634E-05
   121   0.338372E+04   0.966942E+00   0.000000E+00  -0.349778E+02   0.795761E-07   0.263885E-03  -0.110401E-05
   122   0.341791E+04   0.976021E+00   0.000000E+00  -0.355348E+02   0.790627E-07   0.261057E-03  -0.111064E-05
   123   0.345216E+04   0.984740E+00   0.000000E+00  -0.360822E+02   0.785535E-07   0.258280E-03  -0.111623E-05
   124   0.348648E+04   0.993083E+00   0.000000E+00  -0.366194E+02   0.780483E-07   0.255555E-03  -0.112076E-05
   125   0.352085E+04   0.100105E+01   0.000000E+00  -0.371461E+02   0.775471E-07   0.252880E-03  -0.112422E-05
   126   0.355526E+04   0.100863E+01   0.000000E+00  -0.376618E+02   0.770500E-07   0.250256E-03  -0.112660E-05
   127   0.358970E+04   0.101582E+01   0.000000E+00  -0.381658E+02   0.765570E-07   0.247682E-03  -0.112790E-05
   128   0.362417E+04   0.102260E+01   0.000000E+00  -0.386577E+02   0.760680E-07   0.245157E-03  -0.112809E-05
   129   0.365866E+04   0.102898E+01   0.000000E+00  -0.391371E+02   0.755830E-07   0.242681E-03  -0.112717E-05
   130   0.369315E+04   0.103494E+01   0.000000E+00  -0.396034E+02   0.751021E-07   0.240254E-03  -0.112513E-05
   131   0.372764E+04   0.104048E+01   0.000000E+00  -0.400562E+02   0.746252E-07   0.237874E-03  -0.112197E-05
   132   0.376212E+04   0.104559E+01   0.000000E+00  -0.404949E+02   0.741522E-07   0.235541E-03  -0.111774E-05
   133   0.379659E+04   0.105027E+01   0.000000E+00  -0.409191E+02   0.736833E-07   0.233253E-03  -0.111253E-05
   134   0.383104E+04   0.105453E+01   0.000000E+00  -0.413284E+02   0.732182E-07   0.231009E-03  -0.110641E-05
   135   0.386547E+04   0.105833E+01   0.000000E+00  -0.417224E+02   0.727571E-07   0.228806E-03  -0.109945E-05
   136   0.389986E+04   0.106170E+01   0.000000E+00  -0.421004E+02   0.722999E-07   0.226643E-03  -0.109173E-05
   137   0.393422E+04   0.106461E+01   0.000000E+00  -0.424621E+02   0.718464E-07   0.224518E-03  -0.108333E-05
   138   0.396854E+04   0.106707E+01   0.000000E+00  -0.428071E+02   0.713968E-07   0.222430E-03  -0.107431E-05
