#    L    TT             EE             TE             PP             TP          
   160   0.470038E+04   0.102491E+01  -0.454464E+02   0.327701E+07   0.342758E+04
   161   0.473087E+04   0.101606E+01  -0.452284E+02   0.325879E+07   0.339829E+04
   162   0.476109E+04   0.100691E+01  -0.449839E+02   0.324073E+07   0.336930E+04
   163   0.479100E+04   0.997491E+00  -0.447126E+02   0.322281E+07   0.334063E+04
   164   0.482060E+04   0.987793E+00  -0.444143E+02   0.320503E+07   0.331226E+04
   165   0.484987E+04   0.977843E+00  -0.440889E+02   0.318739E+07   0.328419E+04
   166   0.487881E+04   0.967663E+00  -0.437363E+02   0.316990E+07   0.325643E+04
   167   0.490741E+04   0.957275E+00  -0.433562E+02   0.315255E+07   0.322896E+04
   168   0.493566E+04   0.946701E+00  -0.429488E+02   0.313534E+07   0.320180E+04
   169   0.496355E+04   0.935964E+00  -0.425139E+02   0.311827E+07   0.317493E+04
   170   0.499108E+04   0.925078E+00  -0.420514E+02   0.310134E+07   0.314836E+04
   171   0.501822E+04   0.914073E+00  -0.415613E+02   0.308455E+07   0.312208E+04
   172   0.504499E+04   0.902972E+00  -0.410435E+02   0.306789E+07   0.309610E+04
   173   0.507136E+04   0.891796E+00  -0.404980E+02   0.305137E+07   0.307041E+04
   174   0.509733E+04   0.880567E+00  -0.399247E+02   0.303498E+07   0.304500E+04
   175   0.512289E+04   0.869324E+00  -0.393239E+02   0.301873E+07   0.301988E+04
   176   0.514803E+04   0.858080E+00  -0.386953E+02   0.300261E+07   0.299505E+04
   177   0.517274E+04   0.846873E+00  -0.380391E+02   0.298663E+07   0.297050E+04
   178   0.519700E+04   0.835725E+00  -0.373553E+02   0.297077E+07   0.294622E+04
   179   0.522083E+04   0.824658E+00  -0.366439E+02   0.295504E+07   0.292220E+04
   180   0.524421E+04   0.813709E+00  -0.359050E+02   0.293945E+07   0.289846E+04
   181   0.526712E+04   0.802909E+00  -0.351389E+02   0.292398E+07   0.287496E+04
   182   0.528957E+04   0.792287E+00  -0.343455E+02   0.290863E+07   0.285172E+04
   183   0.531154E+04   0.781866E+00  -0.335250E+02   0.289341E+07   0.282873E+04
   184   0.533303E+04   0.771681E+00  -0.326778E+02   0.287832E+07   0.280597E+04
   185   0.535404E+04   0.761772E+00  -0.318036E+02   0.286334E+07   0.278345E+04
   186   0.537455E+04   0.752159E+00  -0.309028E+02   0.284849E+07   0.276115E+04
   187   0.539456E+04   0.742873E+00  -0.299756E+02   0.283375E+07   0.273908E+04
   188   0.541406E+04   0.733955E+00  -0.290222E+02   0.281914E+07   0.271722E+04
   189   0.543304E+04   0.725436E+00  -0.280429E+02   0.280464E+07   0.269558E+04
   190   0.545150E+04   0.717350E+00  -0.270378E+02   0.279026E+07   0.267414E+04
   191   0.546943E+04   0.709729E+00  -0.260073E+02   0.277600E+07   0.265289E+04
   192   0.548682E+04   0.702607E+00  -0.249514E+02   0.276184E+07   0.263185E+04
   193   0.550366E+04   0.696019E+00  -0.238706E+02   0.274780E+07   0.261098E+04
   194   0.551996E+04   0.690000E+00  -0.227651E+02   0.273388E+07   0.259031E+04
   195   0.553570E+04   0.684586E+00  -0.216353E+02   0.272006E+07   0.256980E+04
   196   0.555089E+04   0.679811E+00  -0.204815E+02   0.270635E+07   0.254947E+04
   197   0.556552E+04   0.675715E+00  -0.193042E+02   0.269275E+07   0.252930E+04
   198   0.557960E+04   0.672331E+00  -0.181036E+02   0.267925E+07   0.250930E+04
   199   0.559310E+04   0.669696E+00  -0.168801E+02   0.266586E+07   0.248944E+04
   200   0.560603E+04   0.667846E+00  -0.156341E+02   0.265257E+07   0.246973E+04
   201   0.561839E+04   0.666818E+00  -0.143660E+02   0.263939E+07   0.245017E+04
   202   0.563017E+04   0.666649E+00  -0.130762E+02   0.262631E+07   0.243074E+04
   203   0.564134E+04   0.667374E+00  -0.117651E+02   0.261333E+07   0.241146E+04
   204   0.565191E+04   0.669031E+00  -0.104331E+02   0.260045E+07   0.239231E+04
   205   0.566185E+04   0.671657E+00  -0.908074E+01   0.258767E+07   0.237331E+04
