#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   117   0.325141E+04  -0.341151E+02   0.303621E-03  -0.341151E+02   0.993536E+00  -0.944305E-06   0.303621E-03  -0.944305E-06   0.916610E-07
   118   0.328542E+04  -0.347113E+02   0.300377E-03  -0.347113E+02   0.100376E+01  -0.959678E-06   0.300377E-03  -0.959678E-06   0.910973E-07
   119   0.331953E+04  -0.352986E+02   0.297180E-03  -0.352986E+02   0.101361E+01  -0.976874E-06   0.297180E-03  -0.976874E-06   0.905377E-07
   120   0.335374E+04  -0.358764E+02   0.294031E-03  -0.358764E+02   0.102307E+01  -0.995546E-06   0.294031E-03  -0.995546E-06   0.899822E-07
   121   0.338803E+04  -0.364441E+02   0.290930E-03  -0.364441E+02   0.103213E+01  -0.101535E-05   0.290930E-03  -0.101535E-05   0.894308E-07
   122   0.342240E+04  -0.370012E+02   0.287877E-03  -0.370012E+02   0.104079E+01  -0.103594E-05   0.287877E-03  -0.103594E-05   0.888835E-07
   123   0.345684E+04  -0.375471E+02   0.284873E-03  -0.375471E+02   0.104902E+01  -0.105697E-05   0.284873E-03  -0.105697E-05   0.883402E-07
   124   0.349134E+04  -0.380813E+02   0.281917E-03  -0.380813E+02   0.105683E+01  -0.107810E-05   0.281917E-03  -0.107810E-05   0.878011E-07
   125   0.352589E+04  -0.386032E+02   0.279010E-03  -0.386032E+02   0.106420E+01  -0.109897E-05   0.279010E-03  -0.109897E-05   0.872661E-07
   126   0.356049E+04  -0.391123E+02   0.276152E-03  -0.391123E+02   0.107112E+01  -0.111925E-05   0.276152E-03  -0.111925E-05   0.867352E-07
   127   0.359512E+04  -0.396081E+02   0.273343E-03  -0.396081E+02   0.107760E+01  -0.113859E-05   0.273343E-03  -0.113859E-05   0.862083E-07
   128   0.362977E+04  -0.400900E+02   0.270583E-03  -0.400900E+02   0.108362E+01  -0.115664E-05   0.270583E-03  -0.115664E-05   0.856856E-07
   129   0.366444E+04  -0.405575E+02   0.267873E-03  -0.405575E+02   0.108918E+01  -0.117306E-05   0.267873E-03  -0.117306E-05   0.851669E-07
   130   0.369913E+04  -0.410101E+02   0.265212E-03  -0.410101E+02   0.109425E+01  -0.118751E-05   0.265212E-03  -0.118751E-05   0.846524E-07
   131   0.373380E+04  -0.414472E+02   0.262601E-03  -0.414472E+02   0.109885E+01  -0.119970E-05   0.262601E-03  -0.119970E-05   0.841419E-07
   132   0.376848E+04  -0.418684E+02   0.260038E-03  -0.418684E+02   0.110298E+01  -0.120967E-05   0.260038E-03  -0.120967E-05   0.836355E-07
   133   0.380313E+04  -0.422733E+02   0.257522E-03  -0.422733E+02   0.110661E+01  -0.121752E-05   0.257522E-03  -0.121752E-05   0.831332E-07
   134   0.383776E+04  -0.426611E+02   0.255052E-03  -0.426611E+02   0.110976E+01  -0.122333E-05   0.255052E-03  -0.122333E-05   0.826348E-07
   135   0.387236E+04  -0.430317E+02   0.252625E-03  -0.430317E+02   0.111241E+01  -0.122723E-05   0.252625E-03  -0.122723E-05   0.821404E-07
   136   0.390693E+04  -0.433845E+02   0.250241E-03  -0.433845E+02   0.111458E+01  -0.122929E-05   0.250241E-03  -0.122929E-05   0.816500E-07
   137   0.394144E+04  -0.437188E+02   0.247897E-03  -0.437188E+02   0.111624E+01  -0.122962E-05   0.247897E-03  -0.122962E-05   0.811636E-07
   138   0.397590E+04  -0.440345E+02   0.245593E-03  -0.440345E+02   0.111741E+01  -0.122833E-05   0.245593E-03  -0.122833E-05   0.806810E-07
   139   0.401029E+04  -0.443311E+02   0.243327E-03  -0.443311E+02   0.111809E+01  -0.122550E-05   0.243327E-03  -0.122550E-05   0.802023E-07
   140   0.404462E+04  -0.446081E+02   0.241097E-03  -0.446081E+02   0.111827E+01  -0.122124E-05   0.241097E-03  -0.122124E-05   0.797274E-07
   141   0.407887E+04  -0.448651E+02   0.238901E-03  -0.448651E+02   0.111796E+01  -0.121565E-05   0.238901E-03  -0.121565E-05   0.792564E-07
   142   0.411303E+04  -0.451018E+02   0.236739E-03  -0.451018E+02   0.111715E+01  -0.120882E-05   0.236739E-03  -0.120882E-05   0.787892E-07
   143   0.414710E+04  -0.453177E+02   0.234609E-03  -0.453177E+02   0.111586E+01  -0.120086E-05   0.234609E-03  -0.120086E-05   0.783257E-07
   144   0.418107E+04  -0.455124E+02   0.232509E-03  -0.455124E+02   0.111408E+01  -0.119187E-05   0.232509E-03  -0.119187E-05   0.778659E-07
   145   0.421492E+04  -0.456855E+02   0.230438E-03  -0.456855E+02   0.111181E+01  -0.118193E-05   0.230438E-03  -0.118193E-05   0.774099E-07
   146   0.424863E+04  -0.458367E+02   0.228394E-03  -0.458367E+02   0.110907E+01  -0.117116E-05   0.228394E-03  -0.117116E-05   0.769576E-07
   147   0.428220E+04  -0.459654E+02   0.226376E-03  -0.459654E+02   0.110586E+01  -0.115965E-05   0.226376E-03  -0.115965E-05   0.765089E-07
   148   0.431561E+04  -0.460714E+02   0.224383E-03  -0.460714E+02   0.110218E+01  -0.114750E-05   0.224383E-03  -0.114750E-05   0.760638E-07
   149   0.434885E+04  -0.461542E+02   0.222412E-03  -0.461542E+02   0.109804E+01  -0.113480E-05   0.222412E-03  -0.113480E-05   0.756223E-07
   150   0.438190E+04  -0.462134E+02   0.220462E-03  -0.462134E+02   0.109345E+01  -0.112167E-05   0.220462E-03  -0.112167E-05   0.751844E-07
   151   0.441474E+04  -0.462487E+02   0.218532E-03  -0.462487E+02   0.108842E+01  -0.110818E-05   0.218532E-03  -0.110818E-05   0.747500E-07
   152   0.444738E+04  -0.462598E+02   0.216622E-03  -0.462598E+02   0.108294E+01  -0.109436E-05   0.216622E-03  -0.109436E-05   0.743192E-07
   153   0.447981E+04  -0.462464E+02   0.214732E-03  -0.462464E+02   0.107705E+01  -0.108025E-05   0.214732E-03  -0.108025E-05   0.738919E-07
   154   0.451201E+04  -0.462083E+02   0.212861E-03  -0.462083E+02   0.107075E+01  -0.106586E-05   0.212861E-03  -0.106586E-05   0.734680E-07
   155   0.454399E+04  -0.461452E+02   0.211009E-03  -0.461452E+02   0.106404E+01  -0.105122E-05   0.211009E-03  -0.105122E-05   0.730476E-07
   156   0.457575E+04  -0.460569E+02   0.209176E-03  -0.460569E+02   0.105694E+01  -0.103634E-05   0.209176E-03  -0.103634E-05   0.726306E-07
   157   0.460727E+04  -0.459430E+02   0.207363E-03  -0.459430E+02   0.104946E+01  -0.102125E-05   0.207363E-03  -0.102125E-05   0.722170E-07
   158   0.463856E+04  -0.458035E+02   0.205569E-03  -0.458035E+02   0.104163E+01  -0.100597E-05   0.205569E-03  -0.100597E-05   0.718068E-07
   159   0.466960E+04  -0.456380E+02   0.203793E-03  -0.456380E+02   0.103343E+01  -0.990528E-06   0.203793E-03  -0.990528E-06   0.714000E-07
   160   0.470038E+04  -0.454464E+02   0.202036E-03  -0.454464E+02   0.102491E+01  -0.974938E-06   0.202036E-03  -0.974938E-06   0.709965E-07
   161   0.473087E+04  -0.452284E+02   0.200298E-03  -0.452284E+02   0.101606E+01  -0.959224E-06   0.200298E-03  -0.959224E-06   0.705963E-07
   162   0.476109E+04  -0.449839E+02   0.198579E-03  -0.449839E+02   0.100691E+01  -0.943409E-06   0.198579E-03  -0.943409E-06   0.701995E-07
   163   0.479100E+04  -0.447126E+02   0.196878E-03  -0.447126E+02   0.997491E+00  -0.927515E-06   0.196878E-03  -0.927515E-06   0.698058E-07
   164   0.482060E+04  -0.444143E+02   0.195195E-03  -0.444143E+02   0.987793E+00  -0.911564E-06   0.195195E-03  -0.911564E-06   0.694155E-07
   165   0.484987E+04  -0.440889E+02   0.193531E-03  -0.440889E+02   0.977843E+00  -0.895578E-06   0.193531E-03  -0.895578E-06   0.690283E-07
   166   0.487881E+04  -0.437363E+02   0.191884E-03  -0.437363E+02   0.967663E+00  -0.879578E-06   0.191884E-03  -0.879578E-06   0.686444E-07
   167   0.490741E+04  -0.433562E+02   0.190256E-03  -0.433562E+02   0.957275E+00  -0.863587E-06   0.190256E-03  -0.863587E-06   0.682637E-07
   168   0.493566E+04  -0.429488E+02   0.188646E-03  -0.429488E+02   0.946701E+00  -0.847627E-06   0.188646E-03  -0.847627E-06   0.678861E-07
   169   0.496355E+04  -0.425139E+02   0.187053E-03  -0.425139E+02   0.935964E+00  -0.831719E-06   0.187053E-03  -0.831719E-06   0.675116E-07
