#           k/h    P           
   0.147648E+01   0.263006E+03
   0.150630E+01   0.257030E+03
   0.153673E+01   0.251110E+03
   0.156778E+01   0.245246E+03
   0.159945E+01   0.239441E+03
   0.163176E+01   0.233694E+03
   0.166472E+01   0.228008E+03
   0.169835E+01   0.222383E+03
   0.173266E+01   0.216819E+03
   0.176766E+01   0.211319E+03
   0.180337E+01   0.205884E+03
   0.183980E+01   0.200515E+03
   0.187697E+01   0.195216E+03
   0.191489E+01   0.189987E+03
   0.195357E+01   0.184830E+03
   0.199304E+01   0.179746E+03
   0.203330E+01   0.174736E+03
   0.207437E+01   0.169804E+03
   0.211628E+01   0.164950E+03
   0.215903E+01   0.160177E+03
   0.220265E+01   0.155487E+03
   0.224714E+01   0.150881E+03
   0.229254E+01   0.146360E+03
   0.233885E+01   0.141926E+03
   0.238610E+01   0.137579E+03
   0.243430E+01   0.133320E+03
   0.248348E+01   0.129150E+03
   0.253365E+01   0.125070E+03
   0.258483E+01   0.121080E+03
   0.263705E+01   0.117181E+03
   0.269032E+01   0.113374E+03
   0.274466E+01   0.109658E+03
   0.280011E+01   0.106034E+03
   0.285668E+01   0.102502E+03
   0.291439E+01   0.990617E+02
   0.297326E+01   0.957120E+02
   0.303332E+01   0.924527E+02
   0.309460E+01   0.892831E+02
   0.315712E+01   0.862022E+02
   0.322090E+01   0.832090E+02
   0.328596E+01   0.803023E+02
   0.335234E+01   0.774807E+02
   0.342006E+01   0.747429E+02
   0.348916E+01   0.720876E+02
   0.355964E+01   0.695133E+02
   0.363155E+01   0.670185E+02
   0.370491E+01   0.646017E+02
   0.377976E+01   0.622613E+02
   0.385611E+01   0.599957E+02
   0.393401E+01   0.578033E+02
   0.401348E+01   0.556822E+02
   0.409456E+01   0.536306E+02
   0.417727E+01   0.516467E+02
   0.426166E+01   0.497287E+02
   0.434775E+01   0.478749E+02
   0.443558E+01   0.460835E+02
   0.452519E+01   0.443528E+02
   0.461660E+01   0.426812E+02
   0.470987E+01   0.410670E+02
   0.480501E+01   0.395085E+02
   0.490208E+01   0.380041E+02
   0.500111E+01   0.365523E+02
   0.510214E+01   0.351514E+02
   0.520521E+01   0.337999E+02
   0.531036E+01   0.324962E+02
   0.541763E+01   0.312389E+02
   0.552708E+01   0.300266E+02
   0.563873E+01   0.288578E+02
   0.575264E+01   0.277311E+02
   0.586885E+01   0.266453E+02
   0.598741E+01   0.255989E+02
   0.610836E+01   0.245908E+02
   0.623176E+01   0.236196E+02
   0.635765E+01   0.226841E+02
   0.648609E+01   0.217830E+02
   0.661711E+01   0.209152E+02
   0.675079E+01   0.200797E+02
   0.688716E+01   0.192751E+02
   0.702629E+01   0.185006E+02
   0.716823E+01   0.177550E+02
   0.731304E+01   0.170374E+02
   0.746077E+01   0.163468E+02
   0.761149E+01   0.156823E+02
   0.776525E+01   0.150429E+02
   0.792212E+01   0.144278E+02
   0.808217E+01   0.138363E+02
   0.824543E+01   0.132673E+02
   0.841200E+01   0.127203E+02
   0.858193E+01   0.121944E+02
   0.875530E+01   0.116888E+02
   0.893217E+01   0.112029E+02
   0.911261E+01   0.107359E+02
   0.929670E+01   0.102872E+02
   0.948451E+01   0.985610E+01
   0.967610E+01   0.944198E+01
   0.987158E+01   0.904422E+01
   0.100710E+02   0.866221E+01
   0.102744E+02   0.829538E+01
   0.104820E+02   0.794317E+01
   0.106938E+02   0.760504E+01
   0.109098E+02   0.728046E+01
   0.111302E+02   0.696893E+01
   0.113550E+02   0.666997E+01
   0.115844E+02   0.638309E+01
   0.118184E+02   0.610785E+01
   0.120572E+02   0.584381E+01
   0.123007E+02   0.559054E+01
   0.125492E+02   0.534765E+01
   0.128027E+02   0.511473E+01
   0.130614E+02   0.489141E+01
   0.133252E+02   0.467731E+01
   0.135944E+02   0.447209E+01
   0.138691E+02   0.427540E+01
   0.141492E+02   0.408691E+01
   0.144351E+02   0.390630E+01
   0.147267E+02   0.373326E+01
   0.150242E+02   0.356750E+01
   0.153277E+02   0.340874E+01
   0.156373E+02   0.325668E+01
   0.159532E+02   0.311108E+01
   0.162755E+02   0.297166E+01
   0.166043E+02   0.283819E+01
   0.169397E+02   0.271043E+01
   0.172819E+02   0.258815E+01
   0.176310E+02   0.247112E+01
   0.179872E+02   0.235913E+01
   0.183505E+02   0.225199E+01
   0.187212E+02   0.214948E+01
   0.190994E+02   0.205143E+01
   0.194853E+02   0.195765E+01
   0.198789E+02   0.186797E+01
   0.202805E+02   0.178221E+01
   0.206902E+02   0.170022E+01
   0.211081E+02   0.162184E+01
   0.215346E+02   0.154691E+01
   0.219696E+02   0.147530E+01
   0.224134E+02   0.140687E+01
   0.228662E+02   0.134147E+01
   0.233281E+02   0.127900E+01
   0.237994E+02   0.121931E+01
   0.242802E+02   0.116230E+01
   0.247707E+02   0.110784E+01
   0.252710E+02   0.105584E+01
   0.257816E+02   0.100618E+01
   0.263024E+02   0.958766E+00
   0.268337E+02   0.913501E+00
   0.273758E+02   0.870293E+00
   0.279288E+02   0.829052E+00
   0.284930E+02   0.789692E+00
   0.290686E+02   0.752133E+00
   0.296558E+02   0.716295E+00
   0.302549E+02   0.682103E+00
   0.308661E+02   0.649486E+00
   0.314897E+02   0.618373E+00
   0.321258E+02   0.588699E+00
   0.327748E+02   0.560400E+00
   0.334369E+02   0.533414E+00
   0.341123E+02   0.507685E+00
   0.348014E+02   0.483155E+00
   0.355045E+02   0.459772E+00
   0.362217E+02   0.437483E+00
   0.369535E+02   0.416240E+00
   0.377000E+02   0.395995E+00
   0.384616E+02   0.376705E+00
   0.392386E+02   0.358325E+00
   0.400312E+02   0.340814E+00
   0.408399E+02   0.324133E+00
   0.416649E+02   0.308244E+00
   0.425066E+02   0.293111E+00
   0.433653E+02   0.278699E+00
   0.442413E+02   0.264976E+00
   0.451350E+02   0.251909E+00
   0.460469E+02   0.239468E+00
   0.469770E+02   0.227624E+00
   0.479261E+02   0.216350E+00
   0.488942E+02   0.205619E+00
   0.498820E+02   0.195405E+00
   0.508896E+02   0.185686E+00
   0.519177E+02   0.176436E+00
   0.529665E+02   0.167636E+00
   0.540365E+02   0.159262E+00
   0.551281E+02   0.151297E+00
   0.562417E+02   0.143719E+00
   0.573779E+02   0.136511E+00
   0.585370E+02   0.129656E+00
   0.597195E+02   0.123137E+00
   0.609260E+02   0.116938E+00
   0.621568E+02   0.111044E+00
   0.634124E+02   0.105440E+00
   0.646934E+02   0.100112E+00
   0.660003E+02   0.950478E-01
   0.673336E+02   0.902341E-01
   0.686938E+02   0.856590E-01
   0.700816E+02   0.813109E-01
   0.714973E+02   0.771786E-01
   0.729416E+02   0.732518E-01
   0.744151E+02   0.695202E-01
   0.759184E+02   0.659743E-01
   0.774521E+02   0.626052E-01
   0.790167E+02   0.594040E-01
   0.806129E+02   0.563626E-01
   0.822415E+02   0.534732E-01
   0.839028E+02   0.507283E-01
   0.855978E+02   0.481208E-01
   0.873269E+02   0.456442E-01
   0.890911E+02   0.432925E-01
   0.908908E+02   0.410597E-01
   0.927270E+02   0.389402E-01
   0.946001E+02   0.369286E-01
   0.965112E+02   0.350197E-01
   0.984608E+02   0.332086E-01
   0.100450E+03   0.314905E-01
   0.102479E+03   0.298608E-01
   0.104549E+03   0.283152E-01
