#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   112   0.308316E+04  -0.310192E+02   0.320362E-03  -0.310192E+02   0.937134E+00  -0.906868E-06   0.320362E-03  -0.906868E-06   0.944152E-07
   113   0.311655E+04  -0.316518E+02   0.316889E-03  -0.316518E+02   0.949079E+00  -0.907948E-06   0.316889E-03  -0.907948E-06   0.938348E-07
   114   0.315007E+04  -0.322782E+02   0.313462E-03  -0.322782E+02   0.960699E+00  -0.912577E-06   0.313462E-03  -0.912577E-06   0.932584E-07
   115   0.318373E+04  -0.328979E+02   0.310082E-03  -0.328979E+02   0.971993E+00  -0.920410E-06   0.310082E-03  -0.920410E-06   0.926861E-07
   116   0.321751E+04  -0.335104E+02   0.306749E-03  -0.335104E+02   0.982946E+00  -0.931102E-06   0.306749E-03  -0.931102E-06   0.921180E-07
   117   0.325141E+04  -0.341151E+02   0.303463E-03  -0.341151E+02   0.993536E+00  -0.944308E-06   0.303463E-03  -0.944308E-06   0.915539E-07
   118   0.328542E+04  -0.347113E+02   0.300224E-03  -0.347113E+02   0.100376E+01  -0.959681E-06   0.300224E-03  -0.959681E-06   0.909939E-07
   119   0.331953E+04  -0.352986E+02   0.297033E-03  -0.352986E+02   0.101361E+01  -0.976876E-06   0.297033E-03  -0.976876E-06   0.904379E-07
   120   0.335374E+04  -0.358764E+02   0.293890E-03  -0.358764E+02   0.102307E+01  -0.995549E-06   0.293890E-03  -0.995549E-06   0.898861E-07
   121   0.338803E+04  -0.364441E+02   0.290794E-03  -0.364441E+02   0.103213E+01  -0.101535E-05   0.290794E-03  -0.101535E-05   0.893384E-07
   122   0.342240E+04  -0.370012E+02   0.287747E-03  -0.370012E+02   0.104079E+01  -0.103594E-05   0.287747E-03  -0.103594E-05   0.887947E-07
   123   0.345684E+04  -0.375471E+02   0.284748E-03  -0.375471E+02   0.104902E+01  -0.105697E-05   0.284748E-03  -0.105697E-05   0.882551E-07
   124   0.349134E+04  -0.380813E+02   0.281797E-03  -0.380813E+02   0.105683E+01  -0.107810E-05   0.281797E-03  -0.107810E-05   0.877196E-07
   125   0.352589E+04  -0.386032E+02   0.278895E-03  -0.386032E+02   0.106420E+01  -0.109898E-05   0.278895E-03  -0.109898E-05   0.871882E-07
