#    L    TT             EE             BB             TE          
   268   0.506211E+04   0.420971E+01   0.242807E-01   0.902798E+02
   269   0.503583E+04   0.433212E+01   0.244419E-01   0.916000E+02
   270   0.500915E+04   0.445671E+01   0.246027E-01   0.928979E+02
   271   0.498210E+04   0.458345E+01   0.247629E-01   0.941712E+02
   272   0.495466E+04   0.471233E+01   0.249227E-01   0.954208E+02
   273   0.492688E+04   0.484332E+01   0.250820E-01   0.966451E+02
   274   0.489873E+04   0.497641E+01   0.252408E-01   0.978448E+02
   275   0.487024E+04   0.511157E+01   0.253991E-01   0.990178E+02
   276   0.484143E+04   0.524880E+01   0.255568E-01   0.100165E+03
   277   0.481230E+04   0.538805E+01   0.257140E-01   0.101284E+03
   278   0.478285E+04   0.552932E+01   0.258707E-01   0.102376E+03
   279   0.475310E+04   0.567257E+01   0.260267E-01   0.103440E+03
   280   0.472307E+04   0.581776E+01   0.261823E-01   0.104475E+03
   281   0.469276E+04   0.596488E+01   0.263372E-01   0.105481E+03
   282   0.466217E+04   0.611389E+01   0.264915E-01   0.106457E+03
   283   0.463133E+04   0.626475E+01   0.266453E-01   0.107404E+03
   284   0.460023E+04   0.641745E+01   0.267984E-01   0.108319E+03
   285   0.456889E+04   0.657195E+01   0.269509E-01   0.109203E+03
   286   0.453732E+04   0.672821E+01   0.271028E-01   0.110055E+03
   287   0.450554E+04   0.688618E+01   0.272540E-01   0.110876E+03
   288   0.447355E+04   0.704585E+01   0.274046E-01   0.111664E+03
   289   0.444136E+04   0.720716E+01   0.275546E-01   0.112420E+03
   290   0.440898E+04   0.737008E+01   0.277039E-01   0.113142E+03
   291   0.437644E+04   0.753458E+01   0.278526E-01   0.113831E+03
   292   0.434372E+04   0.770054E+01   0.280006E-01   0.114485E+03
   293   0.431083E+04   0.786802E+01   0.281479E-01   0.115106E+03
   294   0.427781E+04   0.803695E+01   0.282946E-01   0.115691E+03
   295   0.424464E+04   0.820719E+01   0.284406E-01   0.116241E+03
   296   0.421135E+04   0.837880E+01   0.285859E-01   0.116757E+03
   297   0.417792E+04   0.855164E+01   0.287305E-01   0.117235E+03
   298   0.414439E+04   0.872571E+01   0.288744E-01   0.117677E+03
   299   0.411076E+04   0.890094E+01   0.290176E-01   0.118082E+03
   300   0.407703E+04   0.907724E+01   0.291602E-01   0.118451E+03
   301   0.404323E+04   0.925470E+01   0.293020E-01   0.118783E+03
   302   0.400937E+04   0.943309E+01   0.294431E-01   0.119079E+03
   303   0.397545E+04   0.961249E+01   0.295836E-01   0.119337E+03
   304   0.394149E+04   0.979282E+01   0.297233E-01   0.119558E+03
   305   0.390750E+04   0.997400E+01   0.298623E-01   0.119742E+03
   306   0.387349E+04   0.101560E+02   0.300006E-01   0.119889E+03
   307   0.383948E+04   0.103388E+02   0.301382E-01   0.119997E+03
   308   0.380547E+04   0.105223E+02   0.302751E-01   0.120069E+03
   309   0.377147E+04   0.107064E+02   0.304112E-01   0.120102E+03
   310   0.373748E+04   0.108910E+02   0.305467E-01   0.120098E+03
   311   0.370354E+04   0.110761E+02   0.306814E-01   0.120055E+03
   312   0.366962E+04   0.112617E+02   0.308155E-01   0.119975E+03
