#    L    TT             EE             BB             TE          
   331   0.337032E+04   0.138453E+02   0.304754E-01   0.120278E+03
   332   0.333801E+04   0.140342E+02   0.305897E-01   0.119758E+03
   333   0.330586E+04   0.142227E+02   0.307034E-01   0.119202E+03
   334   0.327387E+04   0.144108E+02   0.308164E-01   0.118611E+03
   335   0.324207E+04   0.145983E+02   0.309288E-01   0.117984E+03
   336   0.321044E+04   0.147853E+02   0.310405E-01   0.117321E+03
   337   0.317900E+04   0.149717E+02   0.311517E-01   0.116624E+03
   338   0.314776E+04   0.151574E+02   0.312622E-01   0.115891E+03
   339   0.311672E+04   0.153424E+02   0.313721E-01   0.115125E+03
   340   0.308591E+04   0.155266E+02   0.314814E-01   0.114324E+03
   341   0.305531E+04   0.157099E+02   0.315902E-01   0.113489E+03
   342   0.302493E+04   0.158923E+02   0.316983E-01   0.112619E+03
   343   0.299478E+04   0.160736E+02   0.318060E-01   0.111716E+03
   344   0.296487E+04   0.162539E+02   0.319130E-01   0.110780E+03
   345   0.293519E+04   0.164330E+02   0.320196E-01   0.109809E+03
   346   0.290576E+04   0.166108E+02   0.321256E-01   0.108806E+03
   347   0.287657E+04   0.167874E+02   0.322311E-01   0.107769E+03
   348   0.284764E+04   0.169626E+02   0.323362E-01   0.106699E+03
   349   0.281897E+04   0.171364E+02   0.324408E-01   0.105598E+03
   350   0.279057E+04   0.173087E+02   0.325449E-01   0.104464E+03
   351   0.276245E+04   0.174797E+02   0.326486E-01   0.103301E+03
   352   0.273462E+04   0.176491E+02   0.327518E-01   0.102107E+03
   353   0.270709E+04   0.178168E+02   0.328547E-01   0.100883E+03
   354   0.267985E+04   0.179830E+02   0.329571E-01   0.996305E+02
   355   0.265293E+04   0.181474E+02   0.330592E-01   0.983495E+02
   356   0.262633E+04   0.183100E+02   0.331609E-01   0.970402E+02
   357   0.260004E+04   0.184707E+02   0.332623E-01   0.957032E+02
   358   0.257408E+04   0.186295E+02   0.333633E-01   0.943392E+02
   359   0.254846E+04   0.187861E+02   0.334641E-01   0.929481E+02
   360   0.252316E+04   0.189406E+02   0.335645E-01   0.915311E+02
   361   0.249821E+04   0.190928E+02   0.336647E-01   0.900872E+02
   362   0.247360E+04   0.192428E+02   0.337646E-01   0.886180E+02
   363   0.244935E+04   0.193904E+02   0.338643E-01   0.871241E+02
   364   0.242545E+04   0.195356E+02   0.339637E-01   0.856061E+02
   365   0.240191E+04   0.196783E+02   0.340630E-01   0.840645E+02
   366   0.237874E+04   0.198184E+02   0.341621E-01   0.825001E+02
   367   0.235595E+04   0.199559E+02   0.342610E-01   0.809135E+02
   368   0.233353E+04   0.200907E+02   0.343597E-01   0.793053E+02
   369   0.231148E+04   0.202229E+02   0.344583E-01   0.776763E+02
   370   0.228983E+04   0.203522E+02   0.345568E-01   0.760270E+02
   371   0.226856E+04   0.204788E+02   0.346552E-01   0.743582E+02
   372   0.224768E+04   0.206023E+02   0.347535E-01   0.726703E+02
   373   0.222719E+04   0.207230E+02   0.348517E-01   0.709641E+02
   374   0.220711E+04   0.208408E+02   0.349499E-01   0.692403E+02
   375   0.218741E+04   0.209555E+02   0.350480E-01   0.674994E+02
   376   0.216812E+04   0.210670E+02   0.351462E-01   0.657421E+02
   377   0.214924E+04   0.211755E+02   0.352443E-01   0.639689E+02
   378   0.213076E+04   0.212807E+02   0.353424E-01   0.621806E+02
   379   0.211269E+04   0.213826E+02   0.354406E-01   0.603777E+02
   380   0.209504E+04   0.214812E+02   0.355388E-01   0.585609E+02
   381   0.207780E+04   0.215764E+02   0.356371E-01   0.567307E+02
   382   0.206098E+04   0.216681E+02   0.357355E-01   0.548879E+02
   383   0.204458E+04   0.217564E+02   0.358340E-01   0.530331E+02
   384   0.202859E+04   0.218413E+02   0.359326E-01   0.511671E+02
   385   0.201303E+04   0.219226E+02   0.360313E-01   0.492905E+02
   386   0.199788E+04   0.220004E+02   0.361302E-01   0.474042E+02
   387   0.198317E+04   0.220747E+02   0.362292E-01   0.455087E+02
   388   0.196887E+04   0.221455E+02   0.363284E-01   0.436048E+02
   389   0.195499E+04   0.222128E+02   0.364278E-01   0.416933E+02
   390   0.194154E+04   0.222765E+02   0.365275E-01   0.397747E+02
   391   0.192851E+04   0.223366E+02   0.366273E-01   0.378498E+02
   392   0.191590E+04   0.223930E+02   0.367274E-01   0.359194E+02
   393   0.190372E+04   0.224458E+02   0.368278E-01   0.339839E+02
   394   0.189195E+04   0.224949E+02   0.369285E-01   0.320440E+02
