#           k/h    P           
   0.160359E+00   0.259530E+04
   0.163598E+00   0.251365E+04
   0.166903E+00   0.243808E+04
   0.170275E+00   0.236842E+04
   0.173715E+00   0.230418E+04
   0.177224E+00   0.224482E+04
   0.180804E+00   0.218953E+04
   0.184457E+00   0.213687E+04
   0.188183E+00   0.208581E+04
   0.191985E+00   0.203563E+04
   0.195863E+00   0.198525E+04
   0.199820E+00   0.193414E+04
   0.203856E+00   0.188222E+04
   0.207974E+00   0.182959E+04
   0.212176E+00   0.177702E+04
   0.216462E+00   0.172522E+04
   0.220835E+00   0.167460E+04
   0.225296E+00   0.162578E+04
   0.229847E+00   0.157953E+04
   0.234490E+00   0.153605E+04
   0.239227E+00   0.149476E+04
   0.244060E+00   0.145539E+04
   0.248990E+00   0.141819E+04
   0.254020E+00   0.138216E+04
   0.259152E+00   0.134716E+04
   0.264387E+00   0.131249E+04
   0.269728E+00   0.127834E+04
   0.275177E+00   0.124482E+04
   0.280736E+00   0.121171E+04
   0.286407E+00   0.117936E+04
   0.292193E+00   0.114821E+04
   0.298096E+00   0.111825E+04
   0.304118E+00   0.108950E+04
   0.310261E+00   0.106174E+04
   0.316529E+00   0.103533E+04
   0.322923E+00   0.100964E+04
   0.329447E+00   0.984638E+03
   0.336102E+00   0.960358E+03
   0.342892E+00   0.936471E+03
   0.349819E+00   0.913280E+03
   0.356885E+00   0.890716E+03
   0.364095E+00   0.868925E+03
   0.371450E+00   0.847832E+03
   0.378954E+00   0.827590E+03
   0.386609E+00   0.808033E+03
   0.394419E+00   0.789073E+03
   0.402387E+00   0.770692E+03
   0.410516E+00   0.752524E+03
   0.418809E+00   0.735155E+03
   0.427269E+00   0.718151E+03
   0.435901E+00   0.701732E+03
   0.444706E+00   0.685770E+03
   0.453690E+00   0.670434E+03
   0.462855E+00   0.655559E+03
   0.472206E+00   0.641062E+03
   0.481745E+00   0.626954E+03
   0.491477E+00   0.613231E+03
   0.501405E+00   0.599925E+03
   0.511534E+00   0.586990E+03
   0.521868E+00   0.574502E+03
   0.532411E+00   0.562362E+03
   0.543166E+00   0.550584E+03
   0.554139E+00   0.539047E+03
   0.565333E+00   0.527856E+03
   0.576753E+00   0.516972E+03
   0.588404E+00   0.506409E+03
   0.600291E+00   0.496127E+03
   0.612418E+00   0.486121E+03
   0.624789E+00   0.476362E+03
   0.637411E+00   0.466854E+03
   0.650288E+00   0.457597E+03
   0.663424E+00   0.448577E+03
   0.676826E+00   0.439781E+03
   0.690499E+00   0.431197E+03
   0.704448E+00   0.422816E+03
   0.718679E+00   0.414632E+03
   0.733197E+00   0.406637E+03
   0.748009E+00   0.398825E+03
   0.763119E+00   0.391188E+03
   0.778536E+00   0.383717E+03
   0.794263E+00   0.376405E+03
   0.810308E+00   0.369245E+03
   0.826677E+00   0.362230E+03
   0.843378E+00   0.355354E+03
   0.860415E+00   0.348612E+03
   0.877797E+00   0.341997E+03
   0.895529E+00   0.335504E+03
   0.913620E+00   0.329127E+03
   0.932076E+00   0.322862E+03
   0.950906E+00   0.316704E+03
   0.970115E+00   0.310648E+03
   0.989713E+00   0.304690E+03
   0.100971E+01   0.298824E+03
   0.103010E+01   0.293047E+03
   0.105091E+01   0.287356E+03
   0.107214E+01   0.281747E+03
   0.109380E+01   0.276217E+03
   0.111590E+01   0.270763E+03
   0.113844E+01   0.265382E+03
   0.116144E+01   0.260071E+03
   0.118490E+01   0.254828E+03
   0.120884E+01   0.249651E+03
   0.123326E+01   0.244538E+03
   0.125817E+01   0.239486E+03
   0.128359E+01   0.234495E+03
   0.130952E+01   0.229564E+03
   0.133597E+01   0.224690E+03
   0.136296E+01   0.219873E+03
   0.139049E+01   0.215111E+03
   0.141858E+01   0.210404E+03
   0.144724E+01   0.205752E+03
   0.147648E+01   0.201154E+03
   0.150630E+01   0.196610E+03
   0.153673E+01   0.192120E+03
   0.156778E+01   0.187684E+03
   0.159945E+01   0.183301E+03
   0.163176E+01   0.178972E+03
   0.166472E+01   0.174697E+03
   0.169835E+01   0.170477E+03
   0.173266E+01   0.166312E+03
   0.176766E+01   0.162203E+03
   0.180337E+01   0.158150E+03
   0.183980E+01   0.154154E+03
   0.187697E+01   0.150216E+03
   0.191489E+01   0.146335E+03
   0.195357E+01   0.142514E+03
   0.199304E+01   0.138751E+03
   0.203330E+01   0.135048E+03
   0.207437E+01   0.131407E+03
   0.211628E+01   0.127826E+03
   0.215903E+01   0.124308E+03
   0.220265E+01   0.120853E+03
   0.224714E+01   0.117461E+03
   0.229254E+01   0.114133E+03
   0.233885E+01   0.110870E+03
   0.238610E+01   0.107671E+03
   0.243430E+01   0.104537E+03
   0.248348E+01   0.101468E+03
   0.253365E+01   0.984635E+02
   0.258483E+01   0.955240E+02
   0.263705E+01   0.926493E+02
   0.269032E+01   0.898395E+02
   0.274466E+01   0.870943E+02
   0.280011E+01   0.844135E+02
   0.285668E+01   0.817968E+02
   0.291439E+01   0.792438E+02
   0.297326E+01   0.767541E+02
   0.303332E+01   0.743271E+02
   0.309460E+01   0.719621E+02
   0.315712E+01   0.696587E+02
   0.322090E+01   0.674159E+02
   0.328596E+01   0.652329E+02
   0.335234E+01   0.631089E+02
   0.342006E+01   0.610428E+02
   0.348916E+01   0.590338E+02
   0.355964E+01   0.570808E+02
   0.363155E+01   0.551829E+02
   0.370491E+01   0.533391E+02
   0.377976E+01   0.515483E+02
   0.385611E+01   0.498096E+02
   0.393401E+01   0.481218E+02
   0.401348E+01   0.464839E+02
   0.409456E+01   0.448949E+02
   0.417727E+01   0.433536E+02
   0.426166E+01   0.418588E+02
   0.434775E+01   0.404096E+02
   0.443558E+01   0.390049E+02
   0.452519E+01   0.376435E+02
   0.461660E+01   0.363244E+02
   0.470987E+01   0.350466E+02
   0.480501E+01   0.338090E+02
   0.490208E+01   0.326107E+02
   0.500111E+01   0.314506E+02
   0.510214E+01   0.303277E+02
   0.520521E+01   0.292410E+02
   0.531036E+01   0.281895E+02
   0.541763E+01   0.271723E+02
   0.552708E+01   0.261885E+02
   0.563873E+01   0.252371E+02
   0.575264E+01   0.243173E+02
   0.586885E+01   0.234281E+02
   0.598741E+01   0.225686E+02
   0.610836E+01   0.217381E+02
   0.623176E+01   0.209356E+02
   0.635765E+01   0.201604E+02
   0.648609E+01   0.194115E+02
   0.661711E+01   0.186883E+02
   0.675079E+01   0.179899E+02
   0.688716E+01   0.173155E+02
   0.702629E+01   0.166645E+02
   0.716823E+01   0.160361E+02
   0.731304E+01   0.154295E+02
   0.746077E+01   0.148442E+02
   0.761149E+01   0.142794E+02
   0.776525E+01   0.137345E+02
   0.792212E+01   0.132089E+02
   0.808217E+01   0.127019E+02
   0.824543E+01   0.122130E+02
   0.841200E+01   0.117416E+02
   0.858193E+01   0.112871E+02
   0.875530E+01   0.108489E+02
   0.893217E+01   0.104266E+02
   0.911261E+01   0.100197E+02
   0.929670E+01   0.962751E+01
   0.948451E+01   0.924969E+01
   0.967610E+01   0.888573E+01
   0.987158E+01   0.853514E+01
   0.100710E+02   0.819750E+01
   0.102744E+02   0.787236E+01
   0.104820E+02   0.755930E+01
   0.106938E+02   0.725791E+01
   0.109098E+02   0.696778E+01
   0.111302E+02   0.668854E+01
   0.113550E+02   0.641980E+01
   0.115844E+02   0.616120E+01
   0.118184E+02   0.591240E+01
   0.120572E+02   0.567304E+01
   0.123007E+02   0.544280E+01
   0.125492E+02   0.522136E+01
   0.128027E+02   0.500840E+01
   0.130614E+02   0.480363E+01
   0.133252E+02   0.460676E+01
   0.135944E+02   0.441750E+01
   0.138691E+02   0.423558E+01
   0.141492E+02   0.406073E+01
   0.144351E+02   0.389271E+01
   0.147267E+02   0.373126E+01
   0.150242E+02   0.357614E+01
   0.153277E+02   0.342712E+01
   0.156373E+02   0.328399E+01
   0.159532E+02   0.314652E+01
   0.162755E+02   0.301450E+01
   0.166043E+02   0.288773E+01
   0.169397E+02   0.276602E+01
   0.172819E+02   0.264917E+01
   0.176310E+02   0.253702E+01
   0.179872E+02   0.242937E+01
   0.183505E+02   0.232606E+01
   0.187212E+02   0.222693E+01
   0.190994E+02   0.213181E+01
   0.194853E+02   0.204056E+01
   0.198789E+02   0.195303E+01
   0.202805E+02   0.186908E+01
   0.206902E+02   0.178856E+01
   0.211081E+02   0.171135E+01
   0.215346E+02   0.163732E+01
   0.219696E+02   0.156634E+01
   0.224134E+02   0.149830E+01
   0.228662E+02   0.143308E+01
   0.233281E+02   0.137057E+01
   0.237994E+02   0.131067E+01
   0.242802E+02   0.125327E+01
   0.247707E+02   0.119827E+01
   0.252710E+02   0.114558E+01
   0.257816E+02   0.109512E+01
   0.263024E+02   0.104678E+01
   0.268337E+02   0.100048E+01
   0.273758E+02   0.956148E+00
   0.279288E+02   0.913698E+00
   0.284930E+02   0.873056E+00
   0.290686E+02   0.834149E+00
   0.296558E+02   0.796906E+00
   0.302549E+02   0.761259E+00
   0.308661E+02   0.727144E+00
   0.314897E+02   0.694498E+00
   0.321258E+02   0.663260E+00
   0.327748E+02   0.633372E+00
   0.334369E+02   0.604780E+00
   0.341123E+02   0.577430E+00
   0.348014E+02   0.551269E+00
   0.355045E+02   0.526249E+00
   0.362217E+02   0.502322E+00
   0.369535E+02   0.479444E+00
   0.377000E+02   0.457570E+00
   0.384616E+02   0.436658E+00
   0.392386E+02   0.416669E+00
   0.400312E+02   0.397564E+00
   0.408399E+02   0.379304E+00
   0.416649E+02   0.361856E+00
   0.425066E+02   0.345184E+00
   0.433653E+02   0.329255E+00
   0.442413E+02   0.314037E+00
   0.451350E+02   0.299501E+00
   0.460469E+02   0.285616E+00
   0.469770E+02   0.272355E+00
   0.479261E+02   0.259690E+00
   0.488942E+02   0.247595E+00
   0.498820E+02   0.236045E+00
   0.508896E+02   0.225018E+00
   0.519177E+02   0.214489E+00
   0.529665E+02   0.204437E+00
   0.540365E+02   0.194841E+00
   0.551281E+02   0.185682E+00
   0.562417E+02   0.176939E+00
   0.573779E+02   0.168596E+00
   0.585370E+02   0.160634E+00
   0.597195E+02   0.153037E+00
   0.609260E+02   0.145789E+00
   0.621568E+02   0.138875E+00
   0.634124E+02   0.132280E+00
   0.646934E+02   0.125989E+00
   0.660003E+02   0.119989E+00
   0.673336E+02   0.114268E+00
   0.686938E+02   0.108813E+00
   0.700816E+02   0.103612E+00
   0.714973E+02   0.986524E-01
   0.729416E+02   0.939246E-01
   0.744151E+02   0.894174E-01
   0.759184E+02   0.851210E-01
   0.774521E+02   0.810256E-01
   0.790167E+02   0.771220E-01
   0.806129E+02   0.734016E-01
   0.822415E+02   0.698558E-01
   0.839028E+02   0.664767E-01
   0.855978E+02   0.632568E-01
   0.873269E+02   0.601888E-01
   0.890911E+02   0.572664E-01
   0.908908E+02   0.544829E-01
   0.927270E+02   0.518324E-01
   0.946001E+02   0.493089E-01
   0.965112E+02   0.469067E-01
   0.984608E+02   0.446203E-01
   0.100450E+03   0.424445E-01
   0.102479E+03   0.403743E-01
   0.104549E+03   0.384047E-01
