#           k/h    P           
   0.238610E+01   0.723326E+02
   0.243430E+01   0.702425E+02
   0.248348E+01   0.681873E+02
   0.253365E+01   0.661676E+02
   0.258483E+01   0.641840E+02
   0.263705E+01   0.622372E+02
   0.269032E+01   0.603278E+02
   0.274466E+01   0.584562E+02
   0.280011E+01   0.566229E+02
   0.285668E+01   0.548282E+02
   0.291439E+01   0.530723E+02
   0.297326E+01   0.513555E+02
   0.303332E+01   0.496777E+02
   0.309460E+01   0.480392E+02
   0.315712E+01   0.464398E+02
   0.322090E+01   0.448797E+02
   0.328596E+01   0.433589E+02
   0.335234E+01   0.418774E+02
   0.342006E+01   0.404349E+02
   0.348916E+01   0.390312E+02
   0.355964E+01   0.376661E+02
   0.363155E+01   0.363393E+02
   0.370491E+01   0.350504E+02
   0.377976E+01   0.337990E+02
   0.385611E+01   0.325845E+02
   0.393401E+01   0.314065E+02
   0.401348E+01   0.302644E+02
   0.409456E+01   0.291574E+02
   0.417727E+01   0.280850E+02
   0.426166E+01   0.270464E+02
   0.434775E+01   0.260410E+02
   0.443558E+01   0.250681E+02
   0.452519E+01   0.241269E+02
   0.461660E+01   0.232168E+02
   0.470987E+01   0.223370E+02
   0.480501E+01   0.214869E+02
   0.490208E+01   0.206655E+02
   0.500111E+01   0.198723E+02
   0.510214E+01   0.191064E+02
   0.520521E+01   0.183669E+02
   0.531036E+01   0.176533E+02
   0.541763E+01   0.169647E+02
   0.552708E+01   0.163004E+02
   0.563873E+01   0.156597E+02
   0.575264E+01   0.150418E+02
   0.586885E+01   0.144462E+02
   0.598741E+01   0.138721E+02
   0.610836E+01   0.133188E+02
   0.623176E+01   0.127858E+02
   0.635765E+01   0.122723E+02
   0.648609E+01   0.117778E+02
   0.661711E+01   0.113017E+02
   0.675079E+01   0.108432E+02
   0.688716E+01   0.104020E+02
   0.702629E+01   0.997736E+01
   0.716823E+01   0.956879E+01
   0.731304E+01   0.917575E+01
   0.746077E+01   0.879770E+01
   0.761149E+01   0.843415E+01
   0.776525E+01   0.808459E+01
   0.792212E+01   0.774854E+01
   0.808217E+01   0.742552E+01
   0.824543E+01   0.711508E+01
   0.841200E+01   0.681677E+01
   0.858193E+01   0.653016E+01
   0.875530E+01   0.625483E+01
   0.893217E+01   0.599038E+01
   0.911261E+01   0.573641E+01
   0.929670E+01   0.549256E+01
   0.948451E+01   0.525844E+01
   0.967610E+01   0.503369E+01
   0.987158E+01   0.481798E+01
   0.100710E+02   0.461096E+01
   0.102744E+02   0.441231E+01
   0.104820E+02   0.422172E+01
   0.106938E+02   0.403888E+01
   0.109098E+02   0.386351E+01
   0.111302E+02   0.369531E+01
   0.113550E+02   0.353401E+01
   0.115844E+02   0.337936E+01
   0.118184E+02   0.323109E+01
   0.120572E+02   0.308897E+01
   0.123007E+02   0.295276E+01
   0.125492E+02   0.282223E+01
   0.128027E+02   0.269717E+01
   0.130614E+02   0.257736E+01
   0.133252E+02   0.246259E+01
   0.135944E+02   0.235268E+01
   0.138691E+02   0.224743E+01
   0.141492E+02   0.214665E+01
   0.144351E+02   0.205017E+01
   0.147267E+02   0.195782E+01
   0.150242E+02   0.186944E+01
   0.153277E+02   0.178485E+01
   0.156373E+02   0.170391E+01
   0.159532E+02   0.162647E+01
   0.162755E+02   0.155239E+01
   0.166043E+02   0.148153E+01
   0.169397E+02   0.141376E+01
   0.172819E+02   0.134894E+01
   0.176310E+02   0.128697E+01
   0.179872E+02   0.122771E+01
   0.183505E+02   0.117107E+01
   0.187212E+02   0.111692E+01
   0.190994E+02   0.106517E+01
   0.194853E+02   0.101572E+01
   0.198789E+02   0.968467E+00
   0.202805E+02   0.923320E+00
   0.206902E+02   0.880191E+00
   0.211081E+02   0.838994E+00
   0.215346E+02   0.799648E+00
   0.219696E+02   0.762075E+00
   0.224134E+02   0.726197E+00
   0.228662E+02   0.691943E+00
   0.233281E+02   0.659242E+00
   0.237994E+02   0.628028E+00
   0.242802E+02   0.598236E+00
   0.247707E+02   0.569805E+00
   0.252710E+02   0.542675E+00
   0.257816E+02   0.516790E+00
   0.263024E+02   0.492095E+00
   0.268337E+02   0.468537E+00
   0.273758E+02   0.446068E+00
   0.279288E+02   0.424638E+00
   0.284930E+02   0.404203E+00
   0.290686E+02   0.384717E+00
   0.296558E+02   0.366138E+00
   0.302549E+02   0.348427E+00
   0.308661E+02   0.331544E+00
   0.314897E+02   0.315452E+00
   0.321258E+02   0.300116E+00
   0.327748E+02   0.285502E+00
   0.334369E+02   0.271576E+00
   0.341123E+02   0.258309E+00
   0.348014E+02   0.245670E+00
   0.355045E+02   0.233630E+00
   0.362217E+02   0.222162E+00
   0.369535E+02   0.211240E+00
   0.377000E+02   0.200839E+00
   0.384616E+02   0.190935E+00
   0.392386E+02   0.181506E+00
   0.400312E+02   0.172528E+00
   0.408399E+02   0.163983E+00
   0.416649E+02   0.155848E+00
   0.425066E+02   0.148106E+00
   0.433653E+02   0.140738E+00
   0.442413E+02   0.133727E+00
   0.451350E+02   0.127055E+00
   0.460469E+02   0.120708E+00
   0.469770E+02   0.114669E+00
   0.479261E+02   0.108924E+00
   0.488942E+02   0.103460E+00
   0.498820E+02   0.982634E-01
   0.508896E+02   0.933209E-01
   0.519177E+02   0.886208E-01
   0.529665E+02   0.841516E-01
   0.540365E+02   0.799022E-01
   0.551281E+02   0.758623E-01
   0.562417E+02   0.720218E-01
   0.573779E+02   0.683712E-01
   0.585370E+02   0.649014E-01
   0.597195E+02   0.616037E-01
   0.609260E+02   0.584699E-01
   0.621568E+02   0.554920E-01
   0.634124E+02   0.526627E-01
   0.646934E+02   0.499745E-01
   0.660003E+02   0.474208E-01
   0.673336E+02   0.449950E-01
   0.686938E+02   0.426908E-01
   0.700816E+02   0.405023E-01
   0.714973E+02   0.384238E-01
   0.729416E+02   0.364497E-01
   0.744151E+02   0.345749E-01
   0.759184E+02   0.327946E-01
   0.774521E+02   0.311039E-01
   0.790167E+02   0.294986E-01
   0.806129E+02   0.279742E-01
   0.822415E+02   0.265269E-01
   0.839028E+02   0.251528E-01
   0.855978E+02   0.238483E-01
   0.873269E+02   0.226100E-01
   0.890911E+02   0.214347E-01
   0.908908E+02   0.203195E-01
   0.927270E+02   0.192615E-01
   0.946001E+02   0.182579E-01
   0.965112E+02   0.173060E-01
   0.984608E+02   0.164033E-01
   0.100450E+03   0.155474E-01
   0.102479E+03   0.147359E-01
   0.104549E+03   0.139667E-01
