#    L    TT             EE             TE             PP             TP          
   220   0.583366E+04   0.770091E+00   0.713751E+01   0.208153E+07   0.189267E+04
   221   0.583665E+04   0.786931E+00   0.865950E+01   0.207131E+07   0.187747E+04
   222   0.583902E+04   0.805160E+00   0.101949E+02   0.206117E+07   0.186239E+04
   223   0.584080E+04   0.824801E+00   0.117431E+02   0.205110E+07   0.184743E+04
   224   0.584197E+04   0.845890E+00   0.133035E+02   0.204112E+07   0.183258E+04
   225   0.584255E+04   0.868450E+00   0.148755E+02   0.203122E+07   0.181785E+04
   226   0.584252E+04   0.892527E+00   0.164586E+02   0.202139E+07   0.180322E+04
   227   0.584189E+04   0.918150E+00   0.180521E+02   0.201164E+07   0.178871E+04
   228   0.584066E+04   0.945341E+00   0.196556E+02   0.200196E+07   0.177431E+04
   229   0.583883E+04   0.974139E+00   0.212684E+02   0.199237E+07   0.176002E+04
   230   0.583640E+04   0.100457E+01   0.228900E+02   0.198284E+07   0.174583E+04
   231   0.583337E+04   0.103666E+01   0.245196E+02   0.197339E+07   0.173176E+04
   232   0.582975E+04   0.107043E+01   0.261568E+02   0.196401E+07   0.171778E+04
   233   0.582552E+04   0.110592E+01   0.278008E+02   0.195471E+07   0.170392E+04
   234   0.582070E+04   0.114315E+01   0.294510E+02   0.194547E+07   0.169015E+04
   235   0.581529E+04   0.118216E+01   0.311070E+02   0.193631E+07   0.167649E+04
   236   0.580928E+04   0.122296E+01   0.327680E+02   0.192721E+07   0.166293E+04
   237   0.580268E+04   0.126558E+01   0.344333E+02   0.191819E+07   0.164947E+04
   238   0.579550E+04   0.131003E+01   0.361023E+02   0.190923E+07   0.163610E+04
   239   0.578773E+04   0.135634E+01   0.377745E+02   0.190034E+07   0.162284E+04
   240   0.577937E+04   0.140453E+01   0.394490E+02   0.189151E+07   0.160967E+04
   241   0.577043E+04   0.145464E+01   0.411254E+02   0.188276E+07   0.159660E+04
   242   0.576091E+04   0.150666E+01   0.428028E+02   0.187406E+07   0.158362E+04
   243   0.575082E+04   0.156063E+01   0.444807E+02   0.186543E+07   0.157073E+04
   244   0.574016E+04   0.161656E+01   0.461585E+02   0.185687E+07   0.155794E+04
   245   0.572893E+04   0.167447E+01   0.478356E+02   0.184836E+07   0.154524E+04
   246   0.571715E+04   0.173436E+01   0.495112E+02   0.183992E+07   0.153262E+04
   247   0.570481E+04   0.179626E+01   0.511849E+02   0.183154E+07   0.152010E+04
   248   0.569192E+04   0.186019E+01   0.528557E+02   0.182322E+07   0.150766E+04
   249   0.567848E+04   0.192615E+01   0.545234E+02   0.181496E+07   0.149531E+04
