#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.270154E-02   0.189056E+08   0.189030E+08   0.241020E+05  -0.624451E+05   0.172742E+08   0.188979E+08   0.189052E+08   0.188979E+08  -0.451456E+00   0.997647E+07   0.997598E+07   0.614390E+02
   0.298302E-02   0.187742E+08   0.187714E+08   0.246027E+05  -0.508620E+05   0.169305E+08   0.187654E+08   0.187737E+08   0.187654E+08  -0.448291E+00   0.990667E+07   0.990617E+07   0.558431E+02
   0.329383E-02   0.186267E+08   0.186236E+08   0.103789E+05  -0.413904E+05   0.165584E+08   0.186169E+08   0.186262E+08   0.186169E+08  -0.444741E+00   0.982835E+07   0.982785E+07   0.504312E+02
   0.363702E-02   0.184617E+08   0.184585E+08   0.451536E+04  -0.336494E+05   0.161573E+08   0.184508E+08   0.184612E+08   0.184508E+08  -0.440774E+00   0.974085E+07   0.974035E+07   0.452874E+02
   0.401597E-02   0.182781E+08   0.182746E+08  -0.306207E+04  -0.273265E+05   0.157259E+08   0.182660E+08   0.182775E+08   0.182660E+08  -0.436359E+00   0.964345E+07   0.964296E+07   0.407055E+02
   0.443441E-02   0.180744E+08   0.180706E+08   0.218945E+03  -0.221654E+05   0.152629E+08   0.180612E+08   0.180738E+08   0.180612E+08  -0.431464E+00   0.953547E+07   0.953498E+07   0.367916E+02
   0.489644E-02   0.178494E+08   0.178451E+08  -0.202113E+04  -0.179556E+05   0.147689E+08   0.178349E+08   0.178487E+08   0.178349E+08  -0.426058E+00   0.941621E+07   0.941572E+07   0.333067E+02
   0.540662E-02   0.176017E+08   0.175969E+08  -0.268331E+04  -0.145246E+05   0.142440E+08   0.175858E+08   0.176010E+08   0.175858E+08  -0.420109E+00   0.928496E+07   0.928448E+07   0.300295E+02
   0.596995E-02   0.173300E+08   0.173246E+08  -0.192378E+04  -0.117309E+05   0.136874E+08   0.173128E+08   0.173292E+08   0.173128E+08  -0.413586E+00   0.914104E+07   0.914055E+07   0.270741E+02
   0.659198E-02   0.170334E+08   0.170272E+08  -0.240096E+04  -0.945859E+04   0.130681E+08   0.170145E+08   0.170324E+08   0.170145E+08  -0.406461E+00   0.898386E+07   0.898337E+07   0.245143E+02
   0.727882E-02   0.167095E+08   0.167025E+08  -0.209717E+04  -0.761182E+04   0.124348E+08   0.166891E+08   0.167084E+08   0.166891E+08  -0.398687E+00   0.881232E+07   0.881184E+07   0.221797E+02
   0.803722E-02   0.163572E+08   0.163491E+08  -0.203669E+04  -0.611280E+04   0.117748E+08   0.163353E+08   0.163559E+08   0.163353E+08  -0.390233E+00   0.862578E+07   0.862530E+07   0.200915E+02
   0.887464E-02   0.159756E+08   0.159663E+08  -0.237361E+04  -0.489780E+04   0.110972E+08   0.159521E+08   0.159741E+08   0.159521E+08  -0.381080E+00   0.842378E+07   0.842330E+07   0.182490E+02
