#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.221528E-02   0.156389E+08   0.156367E+08   0.215609E+06   0.116851E+06   0.144827E+08   0.156333E+08   0.156385E+08   0.156334E+08  -0.515394E+00   0.112318E+08   0.112310E+08   0.997478E+02
   0.244608E-02   0.155547E+08   0.155524E+08   0.154495E+06   0.953176E+05   0.142286E+08   0.155484E+08   0.155543E+08   0.155484E+08  -0.512591E+00   0.111708E+08   0.111701E+08   0.903702E+02
   0.270094E-02   0.154595E+08   0.154571E+08   0.143104E+06   0.776920E+05   0.139511E+08   0.154523E+08   0.154591E+08   0.154524E+08  -0.509423E+00   0.111019E+08   0.111012E+08   0.822790E+02
   0.298234E-02   0.153522E+08   0.153496E+08   0.101943E+06   0.632722E+05   0.136506E+08   0.153441E+08   0.153518E+08   0.153441E+08  -0.505854E+00   0.110243E+08   0.110236E+08   0.748277E+02
   0.329307E-02   0.152317E+08   0.152289E+08   0.863836E+05   0.514804E+05   0.133273E+08   0.152227E+08   0.152313E+08   0.152227E+08  -0.501850E+00   0.109373E+08   0.109365E+08   0.675908E+02
   0.363617E-02   0.150971E+08   0.150940E+08   0.711255E+05   0.418432E+05   0.129807E+08   0.150871E+08   0.150966E+08   0.150871E+08  -0.497377E+00   0.108400E+08   0.108392E+08   0.606989E+02
   0.401502E-02   0.149471E+08   0.149438E+08   0.491651E+05   0.339719E+05   0.126102E+08   0.149361E+08   0.149466E+08   0.149361E+08  -0.492399E+00   0.107317E+08   0.107310E+08   0.545682E+02
   0.443334E-02   0.147808E+08   0.147771E+08   0.394645E+05   0.275471E+05   0.122147E+08   0.147687E+08   0.147802E+08   0.147687E+08  -0.486879E+00   0.106117E+08   0.106109E+08   0.493374E+02
   0.489524E-02   0.145970E+08   0.145929E+08   0.334779E+05   0.223074E+05   0.117949E+08   0.145838E+08   0.145964E+08   0.145838E+08  -0.480783E+00   0.104791E+08   0.104783E+08   0.446813E+02
   0.540527E-02   0.143947E+08   0.143901E+08   0.217712E+05   0.180377E+05   0.113508E+08   0.143803E+08   0.143940E+08   0.143803E+08  -0.474075E+00   0.103331E+08   0.103324E+08   0.403002E+02
   0.596844E-02   0.141728E+08   0.141676E+08   0.202779E+05   0.145618E+05   0.108822E+08   0.141572E+08   0.141720E+08   0.141572E+08  -0.466718E+00   0.101731E+08   0.101724E+08   0.363454E+02
   0.659028E-02   0.139305E+08   0.139246E+08   0.192929E+05   0.117350E+05   0.103596E+08   0.139135E+08   0.139296E+08   0.139135E+08  -0.458684E+00   0.999835E+07   0.999762E+07   0.329244E+02
   0.727692E-02   0.136659E+08   0.136591E+08   0.133010E+05   0.943861E+04   0.982877E+07   0.136475E+08   0.136648E+08   0.136476E+08  -0.449917E+00   0.980762E+07   0.980689E+07   0.298053E+02
   0.803509E-02   0.133781E+08   0.133702E+08   0.115985E+05   0.757537E+04   0.927711E+07   0.133584E+08   0.133769E+08   0.133584E+08  -0.440384E+00   0.960019E+07   0.959946E+07   0.270149E+02
   0.887226E-02   0.130663E+08   0.130572E+08   0.836216E+04   0.606588E+04   0.871378E+07   0.130453E+08   0.130649E+08   0.130453E+08  -0.430062E+00   0.937557E+07   0.937484E+07   0.245552E+02
