#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    92   0.245361E+04  -0.179324E+02   0.403691E-03  -0.179324E+02   0.651775E+00  -0.117426E-05   0.403691E-03  -0.117426E-05   0.106563E-06
    93   0.248307E+04  -0.185733E+02   0.398620E-03  -0.185733E+02   0.667260E+00  -0.118755E-05   0.398620E-03  -0.118755E-05   0.105902E-06
    94   0.251275E+04  -0.192185E+02   0.393669E-03  -0.192185E+02   0.682703E+00  -0.119399E-05   0.393669E-03  -0.119399E-05   0.105245E-06
    95   0.254266E+04  -0.198675E+02   0.388834E-03  -0.198675E+02   0.698089E+00  -0.119426E-05   0.388834E-03  -0.119426E-05   0.104592E-06
    96   0.257279E+04  -0.205199E+02   0.384111E-03  -0.205199E+02   0.713404E+00  -0.118902E-05   0.384111E-03  -0.118902E-05   0.103941E-06
    97   0.260315E+04  -0.211753E+02   0.379496E-03  -0.211753E+02   0.728633E+00  -0.117896E-05   0.379496E-03  -0.117896E-05   0.103294E-06
    98   0.263374E+04  -0.218332E+02   0.374983E-03  -0.218332E+02   0.743762E+00  -0.116475E-05   0.374983E-03  -0.116475E-05   0.102650E-06
    99   0.266454E+04  -0.224931E+02   0.370569E-03  -0.224931E+02   0.758776E+00  -0.114705E-05   0.370569E-03  -0.114705E-05   0.102009E-06
   100   0.269556E+04  -0.231545E+02   0.366249E-03  -0.231545E+02   0.773663E+00  -0.112655E-05   0.366249E-03  -0.112655E-05   0.101372E-06
   101   0.272680E+04  -0.238169E+02   0.362019E-03  -0.238169E+02   0.788409E+00  -0.110392E-05   0.362019E-03  -0.110392E-05   0.100739E-06
   102   0.275825E+04  -0.244800E+02   0.357875E-03  -0.244800E+02   0.802991E+00  -0.107983E-05   0.357875E-03  -0.107983E-05   0.100109E-06
   103   0.278991E+04  -0.251430E+02   0.353811E-03  -0.251430E+02   0.817411E+00  -0.105496E-05   0.353811E-03  -0.105496E-05   0.994823E-07
   104   0.282178E+04  -0.258055E+02   0.349824E-03  -0.258055E+02   0.831638E+00  -0.102998E-05   0.349824E-03  -0.102998E-05   0.988597E-07
   105   0.285384E+04  -0.264669E+02   0.345910E-03  -0.264669E+02   0.845665E+00  -0.100556E-05   0.345910E-03  -0.100556E-05   0.982410E-07
   106   0.288609E+04  -0.271266E+02   0.342063E-03  -0.271266E+02   0.859478E+00  -0.982386E-06   0.342063E-03  -0.982386E-06   0.976260E-07
   107   0.291852E+04  -0.277842E+02   0.338280E-03  -0.277842E+02   0.873069E+00  -0.961119E-06   0.338280E-03  -0.961119E-06   0.970149E-07
