#    L    TT             EE             BB             TE          
   286   0.453710E+04   0.672911E+01   0.286660E-01   0.110041E+03
   287   0.450532E+04   0.688707E+01   0.288266E-01   0.110861E+03
   288   0.447334E+04   0.704671E+01   0.289866E-01   0.111649E+03
   289   0.444114E+04   0.720801E+01   0.291459E-01   0.112405E+03
   290   0.440877E+04   0.737091E+01   0.293047E-01   0.113126E+03
   291   0.437623E+04   0.753540E+01   0.294627E-01   0.113815E+03
   292   0.434351E+04   0.770134E+01   0.296201E-01   0.114469E+03
   293   0.431063E+04   0.786880E+01   0.297769E-01   0.115090E+03
   294   0.427761E+04   0.803772E+01   0.299330E-01   0.115675E+03
   295   0.424444E+04   0.820794E+01   0.300884E-01   0.116225E+03
   296   0.421115E+04   0.837953E+01   0.302432E-01   0.116740E+03
   297   0.417772E+04   0.855236E+01   0.303972E-01   0.117218E+03
   298   0.414419E+04   0.872641E+01   0.305506E-01   0.117660E+03
   299   0.411057E+04   0.890161E+01   0.307034E-01   0.118065E+03
   300   0.407684E+04   0.907790E+01   0.308554E-01   0.118434E+03
   301   0.404305E+04   0.925534E+01   0.310067E-01   0.118766E+03
   302   0.400919E+04   0.943371E+01   0.311574E-01   0.119061E+03
   303   0.397527E+04   0.961308E+01   0.313073E-01   0.119319E+03
   304   0.394131E+04   0.979339E+01   0.314566E-01   0.119540E+03
   305   0.390733E+04   0.997455E+01   0.316051E-01   0.119724E+03
   306   0.387333E+04   0.101566E+02   0.317530E-01   0.119870E+03
   307   0.383932E+04   0.103393E+02   0.319002E-01   0.119979E+03
   308   0.380531E+04   0.105227E+02   0.320466E-01   0.120050E+03
   309   0.377131E+04   0.107068E+02   0.321924E-01   0.120083E+03
   310   0.373733E+04   0.108914E+02   0.323374E-01   0.120079E+03
   311   0.370339E+04   0.110765E+02   0.324818E-01   0.120036E+03
   312   0.366948E+04   0.112620E+02   0.326255E-01   0.119956E+03
   313   0.363562E+04   0.114480E+02   0.327684E-01   0.119837E+03
   314   0.360183E+04   0.116342E+02   0.329107E-01   0.119680E+03
   315   0.356810E+04   0.118206E+02   0.330523E-01   0.119485E+03
   316   0.353446E+04   0.120073E+02   0.331932E-01   0.119251E+03
   317   0.350091E+04   0.121940E+02   0.333334E-01   0.118980E+03
   318   0.346747E+04   0.123808E+02   0.334729E-01   0.118671E+03
   319   0.343413E+04   0.125675E+02   0.336118E-01   0.118323E+03
   320   0.340091E+04   0.127542E+02   0.337500E-01   0.117938E+03
   321   0.336783E+04   0.129407E+02   0.338875E-01   0.117516E+03
   322   0.333488E+04   0.131270E+02   0.340244E-01   0.117055E+03
   323   0.330208E+04   0.133130E+02   0.341606E-01   0.116557E+03
   324   0.326944E+04   0.134985E+02   0.342961E-01   0.116022E+03
   325   0.323698E+04   0.136837E+02   0.344311E-01   0.115450E+03
   326   0.320468E+04   0.138684E+02   0.345654E-01   0.114841E+03
   327   0.317257E+04   0.140524E+02   0.346991E-01   0.114195E+03
   328   0.314066E+04   0.142358E+02   0.348322E-01   0.113512E+03
   329   0.310895E+04   0.144185E+02   0.349647E-01   0.112793E+03
   330   0.307746E+04   0.146004E+02   0.350966E-01   0.112039E+03
   331   0.304618E+04   0.147814E+02   0.352279E-01   0.111248E+03
   332   0.301514E+04   0.149615E+02   0.353587E-01   0.110421E+03
   333   0.298433E+04   0.151405E+02   0.354889E-01   0.109560E+03
   334   0.295376E+04   0.153185E+02   0.356186E-01   0.108664E+03
   335   0.292345E+04   0.154953E+02   0.357478E-01   0.107733E+03
   336   0.289341E+04   0.156708E+02   0.358765E-01   0.106768E+03
   337   0.286363E+04   0.158451E+02   0.360047E-01   0.105770E+03
   338   0.283413E+04   0.160181E+02   0.361324E-01   0.104738E+03
   339   0.280491E+04   0.161896E+02   0.362597E-01   0.103674E+03
   340   0.277600E+04   0.163597E+02   0.363865E-01   0.102578E+03
   341   0.274738E+04   0.165282E+02   0.365129E-01   0.101450E+03
   342   0.271906E+04   0.166950E+02   0.366389E-01   0.100289E+03
   343   0.269106E+04   0.168601E+02   0.367645E-01   0.990979E+02
   344   0.266337E+04   0.170233E+02   0.368898E-01   0.978753E+02
   345   0.263600E+04   0.171847E+02   0.370147E-01   0.966221E+02
   346   0.260895E+04   0.173440E+02   0.371393E-01   0.953381E+02
   347   0.258223E+04   0.175014E+02   0.372636E-01   0.940242E+02
   348   0.255584E+04   0.176565E+02   0.373876E-01   0.926804E+02
   349   0.252980E+04   0.178095E+02   0.375113E-01   0.913088E+02
   350   0.250410E+04   0.179603E+02   0.376348E-01   0.899088E+02
   351   0.247877E+04   0.181089E+02   0.377580E-01   0.884818E+02
   352   0.245381E+04   0.182552E+02   0.378811E-01   0.870286E+02
   353   0.242922E+04   0.183991E+02   0.380040E-01   0.855492E+02
   354   0.240500E+04   0.185406E+02   0.381267E-01   0.840457E+02
   355   0.238117E+04   0.186797E+02   0.382493E-01   0.825176E+02
   356   0.235773E+04   0.188162E+02   0.383718E-01   0.809654E+02
   357   0.233468E+04   0.189501E+02   0.384942E-01   0.793900E+02
   358   0.231203E+04   0.190814E+02   0.386165E-01   0.777920E+02
   359   0.228977E+04   0.192098E+02   0.387388E-01   0.761716E+02
   360   0.226791E+04   0.193354E+02   0.388610E-01   0.745302E+02
   361   0.224646E+04   0.194582E+02   0.389832E-01   0.728666E+02
   362   0.222541E+04   0.195780E+02   0.391055E-01   0.711829E+02
   363   0.220479E+04   0.196948E+02   0.392277E-01   0.694796E+02
